ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,0,0,0.797608678162488,2500,,,0.9950112350131176,0.1,0.001033426495268941,0.22946058213710785,-0.15584580600261688,50.02473831176758,0.0,5.797608678162415,1539,-4.999999999999671,0.0,0.0,0.0,0.0003190434712649952
20,0,max_steps,1,1,0,508.79847226564465,2500,2147.0,2147.0,0.9900473578023296,0.1,0.0020286834333091974,0.29274246096611023,-0.21137554943561554,61.327911376953125,500.0,13.796472265644493,1893,-4.997999999999672,0.0,0.0,0.0,0.20351938890625787
30,0,max_steps,1,0,0,-3.007602038842659,2500,,,0.98510824420837,0.1,0.0019955849274992943,0.29276904463768005,-0.2647438645362854,61.327911376953125,0.0,1.9923979611573013,1142,-4.999999999999671,0.0,0.0,0.0,-0.0012030408155370637
40,0,max_steps,1,0,0,-6.61035328541026,2500,,,0.9801937706913741,0.1,0.002916137920692563,0.3442387282848358,-0.37128469347953796,64.20410919189453,0.0,-1.6103532854104068,950,-4.999999999999671,0.0,0.0,0.0,-0.002644141314164104
50,0,max_steps,1,0,0,9.950153351104019,2500,,,0.9753038143277888,0.1,0.003880077274516225,0.41479769349098206,-0.4319837987422943,72.10433959960938,0.0,14.95015335110384,1721,-4.999999999999671,0.0,0.0,0.0,0.003980061340441607
60,0,max_steps,1,0,0,3.4808364982461995,2500,,,0.9704382528072976,0.1,0.004890753887593746,0.5034056901931763,-0.4802890419960022,71.99895477294922,0.0,8.480836498246157,1326,-4.999999999999671,0.0,0.0,0.0,0.0013923345992984798
70,0,max_steps,1,0,0,10.356321061113041,2500,,,0.9655969644297613,0.1,0.006943981163203716,0.6036259531974792,-0.5251438021659851,61.6990852355957,0.0,15.356321061112917,1534,-4.999999999999671,0.0,0.0,0.0,0.004142528424445216
80,0,max_steps,1,0,0,-4.169946714210089,2500,,,0.9607798281021742,0.1,0.009025802835822105,0.7885251045227051,-0.5251197814941406,102.86256408691406,0.0,0.830053285789729,1124,-4.999999999999671,0.0,0.0,0.0,-0.0016679786856840355
90,0,max_steps,1,0,0,-5.838336576656587,2500,,,0.9559867233356352,0.1,0.009962269105017185,0.8013292551040649,-0.4549795985221863,73.41629028320312,0.0,-0.8383365766568533,1087,-4.999999999999671,0.0,0.0,0.0,-0.002335334630662635
100,0,max_steps,1,0,0,-2.833111529836339,2500,,,0.951217530242334,0.1,0.009873292408883572,0.7863379716873169,-0.5072062611579895,70.82576751708984,0.0,2.1668884701635474,1344,-4.999999999999671,0.0,0.0,0.0,-0.0011332446119345356
110,0,max_steps,1,0,0,8.156640560939142,2500,,,0.9464721295325524,0.1,0.009864293970167637,0.7850905656814575,-0.6869813799858093,70.82576751708984,0.0,13.156640560938996,1675,-4.999999999999671,0.0,0.0,0.0,0.0032626562243756566
120,0,max_steps,1,0,0,-2.2321552820545367,2500,,,0.9417504025116805,0.1,0.009797576814889908,0.7848759889602661,-0.8501383662223816,70.82576751708984,0.0,2.767844717945253,1333,-4.999999999999671,0.0,0.0,0.0,-0.0008928621128218147
130,0,max_steps,1,0,0,6.913144977638582,2500,,,0.937052231077248,0.1,0.009732128120958805,0.7587671875953674,-0.6802791357040405,68.38275146484375,0.0,11.913144977638492,1641,-4.999999999999671,0.0,0.0,0.0,0.0027652579910554327
140,0,max_steps,1,0,0,2.139440103085477,2500,,,0.9323774977159699,0.1,0.010712379589676857,0.8581934571266174,-0.8706144094467163,110.4039306640625,0.0,7.139440103085264,1811,-4.999999999999671,0.0,0.0,0.0,0.0008557760412341908
150,0,max_steps,1,0,0,4.9528328036832745,2500,,,0.9277260855008077,0.1,0.011681807227432728,0.9405224919319153,-0.8706144094467163,111.20548248291016,0.0,9.952832803683,1576,-4.999999999999671,0.0,0.0,0.0,0.0019811331214733096
160,0,max_steps,1,0,0,17.8263170401549,2500,,,0.923097878088044,0.1,0.011541149578988552,0.8826139569282532,-0.8706144094467163,79.0781021118164,0.0,22.826317040154816,2026,-4.999999999999671,0.0,0.0,0.0,0.00713052681606196
170,0,max_steps,1,0,0,1.1051069290405957,2500,,,0.9184927597143733,0.1,0.012321408838033676,0.9557846784591675,-0.9986047744750977,118.5169906616211,0.0,6.105106929040522,1392,-4.999999999999671,0.0,0.0,0.0,0.00044204277161623826
180,0,max_steps,1,0,0,-2.6354042568544145,2500,,,0.9139106151940054,0.1,0.013111235573887825,0.9976887702941895,-1.1707916259765625,121.93943786621094,0.0,2.364595743145495,1496,-4.999999999999671,0.0,0.0,0.0,-0.001054161702741766
190,0,max_steps,1,0,0,-4.102991182080212,2500,,,0.9093513299157857,0.1,0.015245207585394382,1.152363896369934,-1.2122544050216675,142.21923828125,0.0,0.8970088179195379,1245,-4.999999999999671,0.0,0.0,0.0,-0.0016411964728320846
200,0,max_steps,1,0,0,-1.9959006666560106,2500,,,0.9048147898403269,0.1,0.01602301374077797,1.164781928062439,-1.178429126739502,104.04901123046875,0.0,3.004099333343967,986,-4.999999999999671,0.0,0.0,0.0,-0.0007983602666624042
210,0,max_steps,1,0,0,-11.390073293979622,2500,,,0.9003008814971583,0.1,0.01680685766041279,1.215522050857544,-1.2729870080947876,108.37641906738281,0.0,-6.390073293979602,973,-4.999999999999671,0.0,0.0,0.0,-0.004556029317591849
220,0,max_steps,1,0,0,6.576866002975686,2500,,,0.895809491981886,0.1,0.01669280044734478,1.2136131525039673,-1.4300841093063354,108.37641906738281,0.0,11.576866002975342,1733,-4.999999999999671,0.0,0.0,0.0,0.0026307464011902744
230,0,max_steps,1,0,0,7.907884554038521,2500,,,0.8913405089533699,0.1,0.016611671075224876,1.211370825767517,-1.5185129642486572,108.37641906738281,0.0,12.907884554038414,1397,-4.999999999999671,0.0,0.0,0.0,0.0031631538216154082
240,0,max_steps,1,0,0,11.921544374760552,2500,,,0.8868938206309135,0.1,0.018153781071305275,1.1563129425048828,-1.656534194946289,133.01670837402344,0.0,16.921544374760355,1382,-4.999999999999671,0.0,0.0,0.0,0.0047686177499042205
250,0,max_steps,1,1,0,520.2273344557501,2500,1919.0,1919.0,0.8824693157914677,0.1,0.02085653878748417,1.3296154737472534,-1.6719328165054321,146.8255157470703,500.0,25.22533445574996,1458,-4.997999999999672,0.0,0.0,0.0,0.20809093378230004
260,0,max_steps,1,0,0,-1.3779560530921053,2500,,,0.8780668837668493,0.1,0.020587587729096413,1.3243101835250854,-1.5915195941925049,146.8255157470703,0.0,3.62204394690784,1409,-4.999999999999671,0.0,0.0,0.0,-0.0005511824212368422
270,0,max_steps,1,0,0,2.916827087418406,2500,,,0.8736864144409725,0.1,0.021407101303339005,1.366436243057251,-1.5702555179595947,144.83209228515625,0.0,7.916827087418287,1341,-4.999999999999671,0.0,0.0,0.0,0.0011667308349673623
280,0,max_steps,1,0,0,5.31296802188204,2500,,,0.8693277982470946,0.1,0.021383730694651604,1.3659087419509888,-1.3503443002700806,144.83209228515625,0.0,10.312968021881861,1382,-4.999999999999671,0.0,0.0,0.0,0.002125187208752816
290,0,max_steps,1,1,0,507.43781695425395,2500,1038.0,1038.0,0.864990926165076,0.1,0.02187761850655079,1.33674955368042,-1.3503443002700806,147.6959686279297,500.0,12.43581695425353,1112,-4.997999999999672,0.0,0.0,0.0,0.20297512678170157
300,0,max_steps,1,0,0,3.037675025137172,2500,,,0.8606756897186528,0.1,0.02268071100115776,1.3547953367233276,-1.3317071199417114,148.16067504882812,0.0,8.037675025137133,1137,-4.999999999999671,0.0,0.0,0.0,0.0012150700100548688
310,0,max_steps,1,1,0,513.5185300682399,2500,912.0,912.0,0.8563819809727236,0.1,0.024549297988414764,1.494556188583374,-1.3020734786987305,154.65957641601562,500.0,18.51653006824063,1351,-4.997999999999672,0.0,0.0,0.0,0.20540741202729595
