ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,0,0,1.9485546447812263,2500,,,0.9950112350131176,0.1,0.002138163661584258,0.2957724332809448,-0.053066354244947433,56.19089126586914,0.0,6.948554644781196,1669,-4.999999999999671,0.0,0.0,0.0,0.0007794218579124905
20,0,max_steps,1,1,0,498.8377822671842,2500,1334.0,1334.0,0.9900473578023296,0.1,0.0031814700923860073,0.35619494318962097,-0.06872200965881348,68.69495391845703,500.0,3.8357822671922057,1243,-4.997999999999672,0.0,0.0,0.0,0.19953511290687367
30,0,max_steps,1,0,0,-0.8077679787107505,2500,,,0.98510824420837,0.1,0.0031910287216305733,0.2720149755477905,-0.06872200965881348,24.74749755859375,0.0,4.192232021289234,1022,-4.999999999999671,0.0,0.0,0.0,-0.0003231071914843002
40,0,max_steps,1,0,0,-0.7309689888769352,2500,,,0.9801937706913741,0.1,0.003199582686647773,0.2720203101634979,-0.06916358321905136,24.74749755859375,0.0,4.269031011123062,839,-4.999999999999671,0.0,0.0,0.0,-0.0002923875955507741
50,0,max_steps,1,0,0,-2.706522203502781,2500,,,0.9753038143277888,0.1,0.00427808566018939,0.41228967905044556,-0.06872200965881348,71.88162231445312,0.0,2.293477796497011,771,-4.999999999999671,0.0,0.0,0.0,-0.0010826088814011123
60,0,max_steps,1,1,0,512.8057569145077,2500,2423.0,2423.0,0.9704382528072976,0.1,0.005329792853444815,0.4830720126628876,-0.07087495923042297,78.35966491699219,500.0,17.80375691450487,1973,-4.997999999999672,0.0,0.0,0.0,0.20512230276580307
70,0,max_steps,1,0,0,-0.335872518921847,2500,,,0.9655969644297613,0.1,0.006312591955065727,0.47937536239624023,-0.06872200965881348,43.15459060668945,0.0,4.664127481078134,935,-4.999999999999671,0.0,0.0,0.0,-0.0001343490075687388
80,0,max_steps,1,0,0,5.386530861206632,2500,,,0.9607798281021742,0.1,0.00737292505800724,0.5926638841629028,-0.06872200965881348,87.8907470703125,0.0,10.386530861206483,1887,-4.999999999999671,0.0,0.0,0.0,0.0021546123444826527
90,0,max_steps,1,0,0,-0.6356715931237679,2500,,,0.9559867233356352,0.1,0.009364929050207138,0.7473517656326294,-0.08592511713504791,101.16890716552734,0.0,4.364328406876224,1207,-4.999999999999671,0.0,0.0,0.0,-0.00025426863724950716
100,0,max_steps,1,0,0,-1.5824272473954308,2500,,,0.951217530242334,0.1,0.009382858872413635,0.7470535039901733,-0.06872200965881348,101.16890716552734,0.0,3.417572752604536,1404,-4.999999999999671,0.0,0.0,0.0,-0.0006329708989581723
110,0,max_steps,1,0,0,6.412098875715507,2500,,,0.9464721295325524,0.1,0.010371657088398933,0.7665830850601196,-0.06872200965881348,71.0385513305664,0.0,11.412098875715273,1587,-4.999999999999671,0.0,0.0,0.0,0.0025648395502862026
120,0,max_steps,1,0,0,4.098909107045684,2500,,,0.9417504025116805,0.1,0.010317342355847359,0.7465643286705017,-0.06633473932743073,67.15786743164062,0.0,9.098909107045404,1293,-4.999999999999671,0.0,0.0,0.0,0.0016395636428182738
130,0,max_steps,1,0,0,4.05975625279996,2500,,,0.937052231077248,0.1,0.010300866328179836,0.7464336156845093,-0.07547959685325623,67.15786743164062,0.0,9.059756252799902,1908,-4.999999999999671,0.0,0.0,0.0,0.0016239025011199838
140,0,max_steps,1,0,0,-2.5310104289104745,2500,,,0.9323774977159699,0.1,0.010202799923717976,0.7199780344963074,-0.08995506912469864,64.59445190429688,0.0,2.4689895710892804,626,-4.999999999999671,0.0,0.0,0.0,-0.0010124041715641897
150,0,max_steps,1,0,0,-0.9523616914820099,2500,,,0.9277260855008077,0.1,0.010172005742788315,0.7071371674537659,-0.06800847500562668,64.0627212524414,0.0,4.0476383085179695,961,-4.999999999999671,0.0,0.0,0.0,-0.00038094467659280395
160,0,max_steps,1,0,0,-1.425867535812208,2500,,,0.923097878088044,0.1,0.009982932358980179,0.6830669641494751,-0.07821375876665115,61.270263671875,0.0,3.574132464187592,725,-4.999999999999671,0.0,0.0,0.0,-0.0005703470143248832
170,0,max_steps,1,0,0,2.2269117445028903,2500,,,0.9184927597143733,0.1,0.011013423092663288,0.786764919757843,-0.11321904510259628,104.52167510986328,0.0,7.226911744502875,1402,-4.999999999999671,0.0,0.0,0.0,0.0008907646978011561
180,0,max_steps,1,0,0,3.5826966423900366,2500,,,0.9139106151940054,0.1,0.010966246947646141,0.7407520413398743,-0.15459977090358734,67.3609390258789,0.0,8.582696642390033,1534,-4.999999999999671,0.0,0.0,0.0,0.0014330786569560147
190,0,max_steps,1,0,0,-0.30269885559400334,2500,,,0.9093513299157857,0.1,0.010812182910740376,0.7209272384643555,-0.15459977090358734,64.66017150878906,0.0,4.697301144405959,1020,-4.999999999999671,0.0,0.0,0.0,-0.00012107954223760133
200,0,max_steps,1,0,0,17.19371400246896,2500,,,0.9048147898403269,0.1,0.011710373684763908,0.8094611763954163,-0.15459977090358734,106.23035430908203,0.0,22.193714002469022,1693,-4.999999999999671,0.0,0.0,0.0,0.0068774856009875835
210,0,max_steps,1,0,0,2.794892680342892,2500,,,0.9003008814971583,0.1,0.011703423224389553,0.8093621134757996,-0.15842382609844208,106.23035430908203,0.0,7.794892680342652,1504,-4.999999999999671,0.0,0.0,0.0,0.0011179570721371569
220,0,max_steps,1,0,0,3.456417783943623,2500,,,0.895809491981886,0.1,0.012684229761362076,0.8796795010566711,-0.15444746613502502,109.97978210449219,0.0,8.456417783943317,1201,-4.999999999999671,0.0,0.0,0.0,0.0013825671135774492
