ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,10.863606855575062,2500,,,0.9950112350131176,0.1,0.0022314030211418867,0.24609270691871643,-0.17746391892433167,49.989139556884766,0.0,35.86360685557483,1647,-25.00000000000111,0.0,0.0,0.0043454427422300245,"{0: 102, 1: 148}","{5: 17, 4: 17, 3: 118, 2: 98}",{1: 250},"{1: 194, 2: 52, 0: 4}",{1: 250},{1: 250},0.01062062047952126,0.010478888527339072,0.014849317373737448,0.018100558427999448,0.02184992820859359,0.06803997556908419,0.029091605728706445,0.043096935748895664,,,,
20,0,max_steps,1,1,0,527.1816303326577,2500,1128.0,1128.0,0.9900473578023296,0.1,0.005471379030495882,0.44698071479797363,-0.24328097701072693,56.727806091308594,500.0,52.17163033265215,1832,-24.990000000001107,0.0,0.0,0.21087265213306308,"{3: 112, 6: 138}","{1: 51, 2: 116, 6: 12, 5: 14, 4: 17, 3: 40}",{1: 250},"{1: 172, 0: 23, 2: 55}",{1: 250},{1: 250},0.011055796104959999,0.019000178547420594,0.013063961325410406,0.013808531157293136,0.028060667388447185,0.07544256874589685,0.03699940939197889,0.03797659442905372,0.01159141327417578,0.021526317672473042,0.015118216107258083,0.011664960208967741
30,0,max_steps,1,0,0,-7.34847837669053,2500,,,0.98510824420837,0.1,0.008706259541213512,0.45876818895339966,-0.3027864992618561,50.12693405151367,0.0,17.651521623309275,1210,-25.00000000000111,0.0,0.0,-0.002939391350676212,"{5: 175, 6: 75}","{5: 11, 4: 19, 3: 106, 2: 114}",{1: 250},"{1: 200, 2: 48, 0: 2}",{1: 250},{1: 250},0.007915977033173385,0.009811957321207349,0.009868532863232964,0.015637279261886287,0.01558357039011411,0.0589450463113136,0.023785165874347945,0.035892347193329115,,,,
40,0,max_steps,1,1,0,536.2085514926571,2500,1125.0,1125.0,0.9801937706913741,0.1,0.009772339835762978,0.4676174521446228,-0.42878812551498413,57.878013610839844,500.0,61.19855149265541,2060,-24.990000000001107,0.0,0.0,0.21448342059706282,"{4: 58, 3: 54, 1: 138}","{4: 22, 3: 30, 2: 112, 0: 53, 1: 33}",{1: 250},"{1: 137, 2: 41, 0: 72}",{1: 250},{1: 250},0.007520934286526466,0.028896392987140022,0.010831393382211816,0.013535351852987177,0.01698656180279862,0.052968229548213654,0.023931586078326617,0.036838178630291464,0.00984482222703542,0.05842546307774381,0.01513810434052665,0.02260380023423951
50,0,max_steps,1,0,0,15.737219003779483,2500,,,0.9753038143277888,0.1,0.01380520686507225,0.6912628412246704,-0.4589795470237732,80.96022033691406,0.0,40.73721900377919,1588,-25.00000000000111,0.0,0.0,0.006294887601511793,"{6: 17, 5: 233}","{4: 27, 3: 123, 2: 100}",{1: 250},"{1: 209, 2: 39, 0: 2}",{1: 250},{1: 250},0.01249138652751068,0.011347843244111838,0.021754369440453496,0.02137429839485632,0.027058303104762555,0.05408129863372444,0.036658814473440146,0.04765482227229665,,,,
60,0,max_steps,1,0,0,-9.1642729567329,2500,,,0.9704382528072976,0.1,0.014886542223393917,0.7450504899024963,-0.5194442868232727,87.12890625,0.0,15.835727043266704,818,-25.00000000000111,0.0,0.0,-0.0036657091826931597,{6: 250},"{3: 137, 2: 113}",{1: 250},"{1: 245, 2: 2, 0: 3}",{1: 250},{1: 250},0.013112396395064785,0.010781267966296994,0.01403317196188509,0.01629705672271685,0.022495531464321677,0.021577706297168386,0.032153568856360476,0.0354440044910402,,,,
70,0,max_steps,1,0,0,13.868797045962467,2500,,,0.9655969644297613,0.1,0.015635402873158455,0.7923434376716614,-0.5755649209022522,92.35177612304688,0.0,38.86879704596294,1355,-25.00000000000111,0.0,0.0,0.005547518818384987,{2: 250},"{5: 10, 4: 18, 3: 85, 2: 137}",{1: 250},"{1: 205, 2: 45}",{1: 250},{1: 250},0.011586749963344911,0.008963294069323082,0.01879278848926737,0.026729842611173456,0.028723752186928783,0.06535208939525146,0.043435176010054664,0.054811902822997895,,,,
80,0,max_steps,1,0,0,-7.248589746439149,2500,,,0.9607798281021742,0.1,0.021032454445958138,0.9828837513923645,-0.6160348653793335,89.4280014038086,0.0,17.751410253560657,1139,-25.00000000000111,0.0,0.0,-0.0028994358985756593,{5: 250},"{3: 91, 2: 159}",{1: 250},"{1: 248, 0: 2}",{1: 250},{1: 250},0.007780475199566552,0.009332757966707513,0.015108357019555648,0.015767556687130455,0.023714282690051748,0.018854835170854293,0.03166415378797952,0.04080122647914957,,,,
90,0,max_steps,1,0,0,-9.702332230174935,2500,,,0.9559867233356352,0.1,0.022008785977959633,1.0246447324752808,-0.707763135433197,89.4280014038086,0.0,15.297667769824873,1378,-25.00000000000111,0.0,0.0,-0.003880932892069974,{4: 250},"{2: 143, 3: 107}",{1: 250},"{1: 242, 0: 8}",{1: 250},{1: 250},0.00808254487806329,0.006957799661063942,0.011338765944465132,0.014942406256361094,0.015649858661361923,0.026679007022597494,0.022364691208411516,0.030210623432989542,,,,
100,0,max_steps,1,0,0,-16.462965569565796,2500,,,0.951217530242334,0.1,0.023862317204475403,1.0372920036315918,-0.7083210349082947,92.34577178955078,0.0,8.537034430433923,839,-25.00000000000111,0.0,0.0,-0.006585186227826318,"{4: 84, 5: 166}","{2: 123, 3: 127}",{1: 250},{1: 250},{1: 250},{1: 250},0.008914116506940635,0.006505551881706128,0.012352038248828743,0.01545718658006338,0.023420070494641246,0.0142995669123113,0.03154393924289511,0.039981515434472925,,,,
