ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,near_vx_bin_counts,near_vy_bin_counts,near_theta_bin_counts,near_omega_bin_counts,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_omega_abs_p90
110,0,max_steps,1,0,0,-72.40284617473,2500,,,0.9464721295325524,0.1,0.0023064431734383106,1.0839194059371948,-15.247882843017578,126.49311828613281,0.0,6.430286015027209,912,-4.999999999999671,-73.83313218975738,0.0,0.0,-0.028961138469892,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.026237383958139862,0.030052364033691333,0.03327460347513398,0.03542750980395082,
120,0,max_steps,1,0,0,-48.69755321300499,2500,,,0.9417504025116805,0.1,0.002403297694399953,1.1615701913833618,-17.375553131103516,132.7716064453125,0.0,1.116252336654608,425,-4.999999999999671,-44.81380554965972,0.0,0.0,-0.019479021285201993,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02172437614116332,0.02910077650449531,0.031147976963359827,0.045474356592841624,
130,0,max_steps,1,0,0,-4.447422764502149,2500,,,0.937052231077248,0.1,0.0027743405662477016,1.2173779010772705,-18.534366607666016,137.261962890625,0.0,0.5525772354975811,313,-4.999999999999671,0.0,0.0,0.0,-0.0017789691058008596,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.023126929173390053,0.02603705990217918,0.03191664624651343,0.04165117437858216,
140,0,max_steps,1,0,0,5.329349397083181,2500,,,0.9323774977159699,0.1,0.0034368420019745827,1.2819167375564575,-14.204434394836426,141.95689392089844,0.0,10.329349397082925,1449,-4.999999999999671,0.0,0.0,0.0,0.0021317397588332724,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03143832207386118,0.02183302908713776,0.031768156330798734,0.03423234715920868,
150,0,max_steps,1,0,0,1.3480516591571396,2500,,,0.9277260855008077,0.1,0.003907238598912954,1.4254463911056519,-20.23580551147461,153.2076873779297,0.0,6.348051659156934,1532,-4.999999999999671,0.0,0.0,0.0,0.0005392206636628559,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.01588062783416066,0.02590941832686282,0.02329085949023935,0.03311271751059158,
160,0,max_steps,1,0,0,-38.29450606189218,2500,,,0.923097878088044,0.1,0.005989248398691416,1.6069056987762451,-20.73482894897461,167.5224609375,0.0,1.0682059461596667,577,-4.999999999999671,-34.36271200805202,0.0,0.0,-0.015317802424756872,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.013661945215515989,0.027192145411422824,0.02242486449174132,0.02884148388863471,
170,0,max_steps,1,0,0,-45.23485947955903,2500,,,0.9184927597143733,0.1,0.007821734063327312,1.7263776063919067,-22.639158248901367,176.2321014404297,0.0,0.002772452958145488,9,-4.999999999999671,-40.23763193251744,0.0,0.0,-0.01809394379182361,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.013433538923970029,0.027393147985058545,0.01854349398071852,0.026841139714307048,
180,0,max_steps,1,0,0,-0.6002570372651157,2500,,,0.9139106151940054,0.1,0.008429067209362984,1.7932512760162354,-22.639158248901367,185.90591430664062,0.0,4.399742962734874,1078,-4.999999999999671,0.0,0.0,0.0,-0.00024010281490604627,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02721987378131266,0.026346564268066697,0.03565019451132628,0.036062139658610694,
190,0,max_steps,1,0,0,-55.18422328872942,2500,,,0.9093513299157857,0.1,0.007609715685248375,1.7969443798065186,-20.25116539001465,185.90591430664062,0.0,2.0531985747534707,786,-4.999999999999671,-52.237421863482915,0.0,0.0,-0.02207368931549177,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.015178065289293604,0.03046136175410343,0.02165791815554843,0.03482528994261042,
200,0,max_steps,1,0,0,-13.780427319055942,2500,,,0.9048147898403269,0.1,0.008086351677775383,1.8589223623275757,-22.278396606445312,187.3348388671875,0.0,6.214090132681615,1167,-4.999999999999671,-14.994517451737567,0.0,0.0,-0.005512170927622377,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.024527202211214464,0.027764362028049997,0.03108996674427782,0.03187281013028001,
210,0,max_steps,1,0,0,-3.309258261625168,2500,,,0.9003008814971583,0.1,0.007009641733020544,1.8242257833480835,-17.47182846069336,157.5068359375,0.0,1.6907417383746064,499,-4.999999999999671,0.0,0.0,0.0,-0.0013237033046500672,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.017731563065325334,0.026374517082560344,0.026503531582626562,0.03608747364522084,
220,0,max_steps,1,0,0,-4.297358122162691,2500,,,0.895809491981886,0.1,0.005456247832626104,1.8313723802566528,-23.754695892333984,157.5068359375,0.0,0.7155895934503942,207,-4.999999999999671,-0.01294771561333491,0.0,0.0,-0.0017189432488650762,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03498128253004436,0.026447809151071214,0.03712897182447959,0.03877901364550635,
230,0,max_steps,1,0,0,-53.869464906977036,2500,,,0.8913405089533699,0.1,0.006237708032131195,1.9545222520828247,-23.754695892333984,193.47723388671875,0.0,1.79155420160238,607,-4.999999999999671,-50.66101910857944,0.0,0.0,-0.021547785962790816,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.0246717214143978,0.030188467680481883,0.035291558693770604,0.041981685381646226,
240,0,max_steps,1,0,0,-0.42945121305356615,2500,,,0.8868938206309135,0.1,0.005090511403977871,1.961971402168274,-25.996124267578125,193.47723388671875,0.0,4.570548786946442,788,-4.999999999999671,0.0,0.0,0.0,-0.00017178048522142647,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03539260426092771,0.02882879383002033,0.04463657326021428,0.0477069571049478,
250,0,max_steps,1,1,0,503.84933659618935,2500,1222.0,1222.0,0.8824693157914677,0.1,0.0062546804547309875,2.0471556186676025,-27.683374404907227,200.63665771484375,500.0,8.847336596200693,1093,-4.997999999999672,0.0,0.0,0.0,0.20153973463847574,{1: 250},{1: 250},{1: 250},{1: 250},{1: 57},{1: 57},{1: 57},{1: 57},0.04162842581603966,0.028613715603897475,0.05023764529453779,0.058688152145320596,0.05894899091677645
260,0,max_steps,1,0,0,-1.0962069138083266,2500,,,0.8780668837668493,0.1,0.005178305320441723,2.051478862762451,-29.80019187927246,200.63665771484375,0.0,3.9037930861915404,814,-4.999999999999671,0.0,0.0,0.0,-0.0004384827655233306,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.032076197233559374,0.026711315250652293,0.03917871333389738,0.03800664227057951,
270,0,max_steps,1,0,0,-13.0520622610281,2500,,,0.8736864144409725,0.1,0.004537736065685749,2.0289416313171387,-29.80019187927246,194.6026611328125,0.0,6.539608087390635,948,-4.999999999999671,-14.591670348419044,0.0,0.0,-0.00522082490441124,{1: 250},{1: 250},{1: 250},{1: 250},{1: 29},{1: 29},{1: 29},{1: 29},0.028058826063666,0.028229093645904514,0.033285936352079715,0.04039944012739871,0.02269694382535569
280,0,crash,1,0,1,-132.34675682741636,2381,,,0.8693277982470946,0.1,0.003735268721356988,1.9725549221038818,-30.37105941772461,166.62918090820312,0.0,2.0269372508470416,621,-4.761999999999698,-49.611694078263405,-80.0,0.0,-0.05558452617699133,{1: 238},{1: 238},{1: 238},{1: 238},{},{},{},{},0.024185581566595612,0.028700349718446403,0.02942099040962553,0.03999365311732125,
290,0,crash,1,0,1,-164.0555722517702,2159,,,0.864990926165076,0.1,0.0017277122242376208,1.9531097412109375,-32.19332504272461,162.7477264404297,0.0,0.005966495280644579,19,-4.3179999999997465,-79.74353874705112,-80.0,0.0,-0.07598683290957398,{1: 215},{1: 215},{1: 215},{1: 215},{1: 17},{1: 17},{1: 17},{1: 17},0.029517878415217472,0.03947042907229166,0.03972688668680699,0.045126934577191274,0.01210486693707704
300,0,max_steps,1,0,0,2.3316614705591725,2500,,,0.8606756897186528,0.1,0.002340990584343672,1.9646447896957397,-32.19332504272461,162.5911407470703,0.0,7.3316614705588155,1045,-4.999999999999671,0.0,0.0,0.0,0.000932664588223669,{1: 250},{1: 250},{1: 250},{1: 250},{1: 174},{1: 174},{1: 174},{1: 174},0.029731353823289477,0.02477842459418086,0.04266167914139936,0.042858738144040176,0.049851422514214684
310,0,max_steps,1,0,0,3.1836851745810315,2500,,,0.8563819809727236,0.1,0.0019255573861300945,1.9674772024154663,-32.19332504272461,161.682373046875,0.0,8.183685174580878,1650,-4.999999999999671,0.0,0.0,0.0,0.0012734740698324126,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.04498117109418285,0.02417552368159072,0.060785945887052446,0.0826183500523026,
