ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,-3.2907949579109625,2500,,,0.9950112350131176,0.1,0.0010569961741566658,0.09396646916866302,-0.0734534040093422,8.748961448669434,0.0,1.709205042088896,371,-4.999999999999671,0.0,0.0,-0.001316317983164385,"{5: 55, 6: 195}","{1: 77, 0: 173}",{1: 250},{1: 250},{1: 250},{1: 250},0.0076955571129953895,0.013696833264325345,0.014388977072286382,0.02102430877579809,0.023167311692448393,0.021899818528013874,0.03409415927345053,0.04126887422131187,,,,
20,0,max_steps,1,0,0,-2.8356537792828584,2500,,,0.9900473578023296,0.1,0.0009945444762706757,0.09400295466184616,-0.14844664931297302,8.748961448669434,0.0,2.164346220716853,352,-4.999999999999671,0.0,0.0,-0.0011342615117131433,"{5: 146, 6: 104}","{2: 28, 1: 56, 0: 166}",{1: 250},{1: 250},{1: 250},{1: 250},0.014130645376627556,0.013809163566252489,0.019889208308183637,0.023325984027109607,0.04118913886170079,0.023560411595332308,0.055322727510519254,0.05811263349375933,,,,
30,0,max_steps,1,0,0,-4.679275727678543,2500,,,0.98510824420837,0.1,0.0009704238618724048,0.09404408931732178,-0.1782272756099701,8.748961448669434,0.0,0.3207242723211545,242,-4.999999999999671,0.0,0.0,-0.0018717102910714171,"{5: 86, 6: 164}","{1: 3, 0: 247}",{1: 250},{1: 250},{1: 250},{1: 250},0.005910355847449352,0.015762784643037965,0.010289628329766973,0.011165770966128427,0.01967742274906305,0.024426120965794076,0.02581437641462961,0.03147569067757644,,,,
40,0,max_steps,1,0,0,-4.479175636540258,2500,,,0.9801937706913741,0.1,0.0020018175709992647,0.27822667360305786,-0.22843563556671143,57.78567123413086,0.0,0.5208243634594545,251,-4.999999999999671,0.0,0.0,-0.0017916702546161034,"{4: 66, 5: 184}","{2: 25, 1: 65, 0: 160}",{1: 250},{1: 250},{1: 250},{1: 250},0.006928724451166141,0.011832851407196945,0.00901483681114795,0.014530462594639556,0.021342694834919858,0.020094846740882504,0.029558156226046402,0.03461941877509818,,,,
50,0,max_steps,1,0,0,-2.244244159769944,2500,,,0.9753038143277888,0.1,0.003038886236026883,0.3485426604747772,-0.2708147168159485,58.285247802734375,0.0,2.7557558402299955,679,-4.999999999999671,0.0,0.0,-0.0008976976639079777,"{2: 216, 1: 34}","{2: 6, 1: 60, 0: 184}",{1: 250},{1: 250},{1: 250},{1: 250},0.01314475424070123,0.011437258432963771,0.02008351456827623,0.028543934605433523,0.03002905447823829,0.019673555357199425,0.04273854983158092,0.05150977653651629,,,,
60,0,max_steps,1,0,0,-1.0000229407404024,2500,,,0.9704382528072976,0.1,0.00409291684627533,0.442513108253479,-0.27424558997154236,64.94303131103516,0.0,3.9999770592596,903,-4.999999999999671,0.0,0.0,-0.000400009176296161,"{5: 213, 6: 37}","{3: 59, 2: 59, 1: 111, 0: 21}",{1: 250},{1: 250},{1: 250},{1: 250},0.01557747966584462,0.010293231448425796,0.025306506296309955,0.023458630832270087,0.03396573232879826,0.02032401607835194,0.04416337991394964,0.04977516313981687,,,,
70,0,max_steps,1,0,0,7.271186418627516,2500,,,0.9655969644297613,0.1,0.00719817727804184,0.6642911434173584,-0.287418395280838,102.96238708496094,0.0,12.27118641862732,1859,-4.999999999999671,0.0,0.0,0.002908474567451006,{2: 250},"{5: 64, 4: 61, 3: 125}",{1: 250},{1: 250},{1: 250},{1: 250},0.007450465878101616,0.013801620672165659,0.010531449430176192,0.01062203650697355,0.0203557173876803,0.022486232694496316,0.027326099836127455,0.027898864803237795,,,,
80,0,max_steps,1,0,0,-1.2563315080323636,2500,,,0.9607798281021742,0.1,0.007163201924413443,0.6643057465553284,-0.32037675380706787,102.96238708496094,0.0,3.7436684919676417,1056,-4.999999999999671,0.0,0.0,-0.0005025326032129454,"{5: 67, 6: 183}","{5: 27, 4: 46, 3: 177}",{1: 250},{1: 250},{1: 250},{1: 250},0.00792991426861906,0.011917579580598539,0.011101688739586744,0.017837926589036716,0.028537587698666902,0.023368025329267548,0.03621106983843129,0.03887348463581357,,,,
90,0,max_steps,1,0,0,-3.2586974775032207,2500,,,0.9559867233356352,0.1,0.007127376273274422,0.6643201112747192,-0.3737045228481293,102.96238708496094,0.0,1.741302522496643,519,-4.999999999999671,0.0,0.0,-0.0013034789910012883,{3: 250},"{2: 113, 1: 83, 0: 54}",{1: 250},{1: 250},{1: 250},{1: 250},0.00732080776618761,0.00969535869354353,0.010433149765170143,0.010009329076430953,0.021935688824712602,0.015505704841908594,0.028886546421273075,0.031748634549842045,0.02482831289002304,0.013046826571241002,0.023738693357761263,0.016071125678611863
100,0,max_steps,1,0,0,-4.975632254355143,2500,,,0.951217530242334,0.1,0.0081340866163373,0.7124456763267517,-0.3737045228481293,93.70965576171875,0.0,0.02436774564453098,41,-4.999999999999671,0.0,0.0,-0.0019902529017420574,{4: 250},"{2: 67, 1: 67, 0: 116}",{1: 250},{1: 250},{1: 250},{1: 250},0.0059843889961046955,0.013984964920208367,0.009646191972231365,0.013073311453701676,0.014307324323442077,0.022143268686795357,0.020434880292156107,0.02997217601058538,,,,
110,0,max_steps,1,0,0,-4.755694370291589,2500,,,0.9464721295325524,0.1,0.008119621314108372,0.7124576568603516,-0.3780986964702606,93.70965576171875,0.0,0.244305629708097,155,-4.999999999999671,0.0,0.0,-0.0019022777481166354,"{4: 29, 5: 208, 6: 13}","{2: 21, 1: 92, 0: 137}",{1: 250},{1: 250},{1: 250},{1: 250},0.007877303684265145,0.010722307219734935,0.0099864701832252,0.013420122879337894,0.022994048961557614,0.01966321897442153,0.032194370846719486,0.040171326410705185,,,,
120,0,max_steps,1,0,0,-2.108950767892957,2500,,,0.9417504025116805,0.1,0.009140914306044579,0.8038132190704346,-0.43698838353157043,99.72850799560547,0.0,2.8910492321070254,680,-4.999999999999671,0.0,0.0,-0.0008435803071571827,"{1: 228, 2: 22}","{3: 75, 2: 59, 1: 76, 0: 40}",{1: 250},{1: 250},{1: 250},{1: 250},0.007720144062513413,0.010931584282074023,0.012791039608996045,0.013898943171669464,0.023488177504027045,0.021166385524271546,0.03453547407643006,0.045691896480048545,,,,
130,0,max_steps,1,0,0,-0.017522451557781954,2500,,,0.937052231077248,0.1,0.00911434181034565,0.7917062640190125,-0.4332042634487152,98.50263214111328,0.0,4.982477548442215,1242,-4.999999999999671,0.0,0.0,-7.0089806231127814e-06,{4: 250},"{3: 170, 2: 68, 1: 12}",{1: 250},{1: 250},{1: 250},{1: 250},0.007772067910125595,0.01309434059801877,0.012438064008099686,0.014483253126312642,0.022300795047329614,0.025021049651378465,0.029302196081114833,0.034577290233705385,,,,
140,0,max_steps,1,0,0,-2.8803225710908507,2500,,,0.9323774977159699,0.1,0.011140326969325542,0.9456813335418701,-0.5177727341651917,115.37809753417969,0.0,2.1196774289090605,875,-4.999999999999671,0.0,0.0,-0.0011521290284363403,"{0: 180, 1: 70}","{3: 72, 2: 78, 1: 76, 0: 24}",{1: 250},{1: 250},{1: 250},{1: 250},0.005706239621774545,0.012531354151315916,0.008463367719956927,0.010781555168461252,0.016469389190571802,0.01972171594509454,0.024805088612252803,0.034092890510076655,,,,
150,0,max_steps,1,0,0,-4.501425015064947,2500,,,0.9277260855008077,0.1,0.012189870700240135,1.0568501949310303,-0.5177727341651917,153.8458251953125,0.0,0.8346971017875487,235,-4.999999999999671,-0.3361221168527895,0.0,-0.0018005700060259788,"{5: 121, 6: 129}","{3: 36, 2: 65, 1: 57, 0: 92}",{1: 250},{1: 250},{1: 250},{1: 250},0.0045889156933298465,0.016876684915036227,0.006376691284531869,0.010728181927036121,0.022498174384814183,0.02213264176648607,0.031667802496601685,0.032062365477252976,,,,
160,0,max_steps,1,0,0,-4.915758307442642,2500,,,0.923097878088044,0.1,0.013182362541556358,1.0949445962905884,-0.5177727341651917,127.50363159179688,0.0,0.08424169255703967,116,-4.999999999999671,0.0,0.0,-0.001966303322977057,{4: 250},"{3: 53, 2: 65, 1: 62, 0: 70}",{1: 250},{1: 250},{1: 250},{1: 250},0.00467681832355395,0.0136782683350582,0.007093287388765836,0.010277820908251023,0.014737793760185532,0.021713179194617398,0.021038120335825944,0.026829341669640457,,,,
