ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,4.859891901880741,2500,,,0.9950112350131176,0.1,-0.001369583304040134,0.07158524543046951,-9.288936614990234,0.11336051672697067,0.0,11.837560705312383,1387,-4.999999999999671,-1.9776688034318939,0.0,0.0,0.0019439567607522964,"{2: 192, 3: 58}","{5: 6, 4: 30, 3: 152, 2: 58, 1: 4}",{1: 250},{1: 250},{1: 250},{1: 250},0.01228375099267828,0.016786391691440077,0.017292382528655267,0.021695031769843796,0.03442148932807358,0.03049388331038485,0.05076410821908647,0.05609995562071981,0.02550400810083094,0.0320968059480419,0.044428930282775614,0.0585935929591158
20,0,max_steps,1,0,0,-21.867291188177585,2500,,,0.9900473578023296,0.1,-0.002481612376868725,0.1089336946606636,-13.067374229431152,0.13140401244163513,0.0,0.01665825066476112,29,-4.999999999999671,-16.88394943884264,0.0,0.0,-0.008746916475271035,{3: 250},"{1: 10, 0: 240}",{1: 250},{1: 250},{1: 250},{1: 250},0.011637363760305507,0.01759170601870181,0.016372276893859557,0.01860598587231234,0.024190202021718447,0.029344946305037554,0.03269353795664676,0.037868188951461185,,,,
30,0,crash,1,0,1,-132.6346530743995,2155,,,0.98510824420837,0.1,-0.0012726259883493185,0.23430579900741577,-15.20944595336914,20.356029510498047,0.0,9.078309024644232,1250,-4.309999999999747,-57.40296209904388,-80.0,0.0,-0.06154740281874686,"{1: 160, 2: 55}","{5: 9, 4: 36, 3: 94, 2: 42, 1: 34}",{1: 215},{1: 215},{1: 215},{1: 215},0.012200995549039246,0.022209369969102475,0.013924746666772524,0.015863104713501847,0.028421292732042046,0.033395191503265524,0.03548040273353408,0.03710967316046205,,,,
40,0,max_steps,1,0,0,-8.486115621341622,2500,,,0.9801937706913741,0.1,-0.0003159781626891345,0.45204129815101624,-13.093111038208008,68.2597427368164,0.0,0.7224437825728236,353,-4.999999999999671,-4.208559403914668,0.0,0.0,-0.0033944462485366485,"{6: 135, 5: 115}","{2: 9, 1: 54, 0: 187}",{1: 250},{1: 250},{1: 250},{1: 250},0.009974159186995988,0.01737186802303894,0.0142472614646875,0.017283790270875392,0.022620654137194315,0.023541292232339618,0.030505170625191643,0.040124224739095396,,,,
50,0,crash,1,0,1,-148.42606198324145,2473,,,0.9753038143277888,0.1,-0.001017085392959416,0.5479452610015869,-14.522148132324219,82.55722045898438,0.0,0.01707886890051913,29,-4.945999999999677,-63.497140852142174,-80.0,0.0,-0.06001862595359541,"{4: 204, 5: 43}","{1: 23, 0: 224}",{1: 247},{1: 247},{1: 247},{1: 247},0.006134136795235377,0.021424709515874673,0.009046392966743982,0.012350410227862551,0.025358650353570038,0.029454778206441042,0.026422504683208333,0.0304376350537675,,,,
60,0,max_steps,1,0,0,-4.939878362895495,2500,,,0.9704382528072976,0.1,0.00023401295766234398,0.7133720517158508,-11.536006927490234,107.94324493408203,0.0,0.06012163710418239,79,-4.999999999999671,0.0,0.0,0.0,-0.001975951345158198,"{3: 91, 4: 159}","{1: 24, 0: 226}",{1: 250},{1: 250},{1: 250},{1: 250},0.00950655743844257,0.014342144846984137,0.012726446735572296,0.016378523269482685,0.0215543695525355,0.0264899559906751,0.028842756796070325,0.03674624518881175,,,,
70,0,max_steps,1,0,0,-88.56837920335312,2500,,,0.9655969644297613,0.1,0.0020917824003845453,0.9068130254745483,-16.221389770507812,108.01034545898438,0.0,0.1227967456333301,130,-4.999999999999671,-83.69117594898677,0.0,0.0,-0.03542735168134125,"{5: 105, 6: 145}","{1: 38, 0: 212}",{1: 250},{1: 250},{1: 250},{1: 250},0.009256469135371453,0.019512861988281338,0.011911886254155638,0.016207365280065233,0.02428106993549593,0.032874152005917597,0.035875546309636325,0.04058169758303215,,,,
80,0,max_steps,1,1,0,501.5927632560193,2500,738.0,738.0,0.9607798281021742,0.1,0.0035135780926793814,1.123536229133606,-16.988040924072266,127.76414489746094,500.0,7.079468396841011,914,-4.997999999999672,-0.48870514080667327,0.0,0.0,0.20063710530240772,"{3: 73, 4: 101, 5: 76}","{5: 18, 4: 47, 3: 8, 1: 52, 0: 125}",{1: 250},{1: 250},{1: 250},{1: 250},0.01072329734973383,0.017548360977564372,0.016695963193606847,0.021951838942539777,0.025718406190443962,0.028203356237067725,0.038186545592927675,0.046323544190371345,0.016287310114630405,0.027475762800127656,0.017624283080696836,0.03076174395006627
90,0,max_steps,1,0,0,-22.878711681548726,2500,,,0.9559867233356352,0.1,0.001914370572194457,1.1348265409469604,-21.07488250732422,127.76414489746094,0.0,1.4115489836465223,286,-4.999999999999671,-19.290260665195365,0.0,0.0,-0.009151484672619491,{1: 250},"{1: 85, 0: 165}",{1: 250},{1: 250},{1: 250},{1: 250},0.007205961690971183,0.01970901457788614,0.008623342327249962,0.013226479820688813,0.020055454549768308,0.029252506623870914,0.02652052362229184,0.031002392977218393,,,,
100,0,max_steps,1,0,0,-21.653610502435388,2500,,,0.951217530242334,0.1,0.0012956681894138455,1.138817310333252,-18.324535369873047,127.76414489746094,0.0,3.6539989163781605,804,-4.999999999999671,-20.307609418813595,0.0,0.0,-0.008661444200974155,"{5: 157, 6: 93}","{4: 34, 3: 109, 2: 54, 1: 50, 0: 3}",{1: 250},{1: 250},{1: 250},{1: 250},0.006649971717518433,0.017714021895983853,0.010019267144840915,0.011967941815785182,0.014723944051782572,0.02908696782905619,0.0197203213132321,0.024420155419750407,,,,
110,0,max_steps,1,0,0,-27.080775290920652,2500,,,0.9464721295325524,0.1,0.0004896639729849994,1.1458336114883423,-20.753293991088867,127.76414489746094,0.0,0.026230322331313727,51,-4.999999999999671,-22.107005613252234,0.0,0.0,-0.01083231011636826,"{5: 136, 6: 114}","{1: 29, 0: 221}",{1: 250},{1: 250},{1: 250},{1: 250},0.006114567796692524,0.01971153770094102,0.008290826249560013,0.01144137169589338,0.023135411678054465,0.02889914322424308,0.028269610082141176,0.02710657720063946,,,,
120,0,max_steps,1,0,0,-10.422657931755428,2500,,,0.9417504025116805,0.1,0.0002587945491541177,1.2118173837661743,-21.20916748046875,133.46163940429688,0.0,0.07015311430769583,73,-4.999999999999671,-5.492811046063416,0.0,0.0,-0.004169063172702171,{3: 250},"{2: 60, 1: 61, 0: 129}",{1: 250},{1: 250},{1: 250},{1: 250},0.007700700695860535,0.018136301062592515,0.00999050304420084,0.012931863724273462,0.022436746093508757,0.025870179401105187,0.03042145107067817,0.03363314162522746,,,,
130,0,max_steps,1,0,0,-41.45701222835875,2500,,,0.937052231077248,0.1,-0.0006856299005448818,1.188674807548523,-21.20916748046875,116.38177490234375,0.0,3.323482427357288,905,-4.999999999999671,-39.78049465571603,0.0,0.0,-0.0165828048913435,"{4: 137, 3: 113}","{4: 40, 3: 97, 2: 58, 1: 41, 0: 14}",{1: 250},{1: 250},{1: 250},{1: 250},0.005146338153061834,0.021005164550778766,0.006387263004522395,0.008613058227504852,0.013051871528787558,0.028675876664572313,0.01659867580142246,0.02288240023184484,0.011507782782753792,0.02744052653718658,0.014131688784162256,0.02195094127322347
140,0,max_steps,1,0,0,-52.95031585611727,2500,,,0.9323774977159699,0.1,-0.00042527259211055934,1.2676135301589966,-21.604694366455078,136.0568389892578,0.0,14.066769080628212,1503,-4.999999999999671,-62.01708493674551,0.0,0.0,-0.021180126342446908,"{2: 157, 1: 42, 3: 51}","{5: 39, 4: 41, 3: 106, 2: 53, 1: 11}",{1: 250},{1: 250},{1: 250},{1: 250},0.010434767235305417,0.02005501284225149,0.014777553370234252,0.0156842337160258,0.03603265289769218,0.02826042616267126,0.0483949698551378,0.05073072090242884,,,,
150,0,max_steps,1,0,0,-40.33089611695504,2500,,,0.9277260855008077,0.1,-0.0007930116844363511,1.343820333480835,-27.359642028808594,142.90060424804688,0.0,1.8860863337656166,589,-4.999999999999671,-37.216982450720735,0.0,0.0,-0.016132358446782017,"{4: 81, 5: 169}","{4: 4, 3: 95, 2: 43, 1: 77, 0: 31}",{1: 250},{1: 250},{1: 250},{1: 250},0.00846897984353048,0.018297612035485418,0.01145354705427136,0.01783768798613973,0.02033158790356464,0.029752727654951114,0.027182932176748543,0.03711400123350927,,,,
160,0,crash,1,0,1,-138.4697262373345,2313,,,0.923097878088044,0.1,-0.0013560695806518197,1.4164531230926514,-27.359642028808594,140.58387756347656,0.0,7.924818571840211,1123,-4.625999999999713,-61.768544809174834,-80.0,0.0,-0.059865856566076306,"{1: 199, 0: 32}","{5: 35, 4: 39, 3: 104, 2: 39, 1: 14}",{1: 231},{1: 231},{1: 231},{1: 231},0.00993278424335737,0.022467087838014932,0.014378819033374525,0.01924781030108365,0.029058103160983995,0.03016720201058874,0.036780097531890245,0.03783336311025641,,,,
170,0,max_steps,1,0,0,-24.757483663892007,2500,,,0.9184927597143733,0.1,-0.0026551606133580208,1.4249992370605469,-23.090307235717773,140.58387756347656,0.0,1.4970708808081101,258,-4.999999999999671,-21.254554544700305,0.0,0.0,-0.009902993465556802,{3: 250},"{1: 13, 0: 237}",{1: 250},{1: 250},{1: 250},{1: 250},0.012652737439242353,0.020085586417065905,0.0154941767228212,0.02021076701366537,0.031851850624226435,0.03048454662337899,0.04243472774724243,0.045171521778865784,,,,
180,0,max_steps,1,1,0,487.9848280076105,2500,622.0,622.0,0.9139106151940054,0.1,-0.0021681231446564198,1.488690733909607,-23.587337493896484,151.12367248535156,500.0,4.356987711373513,649,-4.997999999999672,-11.374159703748372,0.0,0.0,0.19519393120304418,"{3: 43, 4: 207}","{4: 35, 3: 27, 2: 38, 1: 54, 0: 96}",{1: 250},{1: 250},{1: 250},{1: 250},0.0071923905671102874,0.01790189635665107,0.011543616784449907,0.013308988380645464,0.02742000546687889,0.0257484873682919,0.03908848684736964,0.03983484990332355,0.027916451896196327,0.02494531480265797,0.04032615588751792,0.036312651884933225
190,0,crash,1,0,1,-138.8724170353593,2437,,,0.9093513299157857,0.1,-0.003584872931241989,1.4431835412979126,-23.063034057617188,121.83328247070312,0.0,0.2444267717077661,162,-4.873999999999685,-54.24284380706721,-80.0,0.0,-0.05698498852497304,"{2: 227, 1: 16}","{3: 42, 2: 56, 1: 45, 0: 100}",{1: 243},{1: 243},{1: 243},{1: 243},0.008390481234647482,0.019988599006699543,0.011998898463948771,0.016980514001314832,0.029044967052216635,0.028564895972705204,0.041117735843001595,0.04663589096836656,,,,
200,0,max_steps,1,0,0,-0.4472376013090803,2500,,,0.9048147898403269,0.1,-0.004436952527612448,1.4252244234085083,-25.368562698364258,117.6165771484375,0.0,4.552762398690917,993,-4.999999999999671,0.0,0.0,0.0,-0.00017889504052363213,"{6: 230, 5: 20}","{2: 61, 1: 64, 0: 125}",{1: 250},{1: 250},{1: 250},{1: 250},0.0076968581770816575,0.013829900797169637,0.012082507876197867,0.01694051769598759,0.023662290750404012,0.02531189452640522,0.037223512758356656,0.04943627315363341,,,,
