Timestamp,Model,Param_Setting,Episode,Target_Index,Start_X,Start_Y,Target_X,Target_Y,Distance,Steps_Taken,Total_Thrust,Success
15:57:06,HeuristicController,ky=2.0,0,9,-0.23,-0.27,0.20,0.19,0.63,1701,1827.58,1
15:57:06,HeuristicController,ky=2.0,0,10,0.10,0.17,0.06,-0.28,0.46,158,100.79,1
15:57:06,HeuristicController,ky=2.0,0,11,0.06,-0.18,0.29,-0.34,0.27,355,403.56,1
15:57:06,HeuristicController,ky=2.0,0,12,0.19,-0.35,-0.24,0.39,0.86,257,298.14,0
15:57:06,HeuristicController,ky=5.0,0,0,0.00,0.00,0.27,0.37,0.46,325,367.57,1
15:57:06,HeuristicController,ky=5.0,0,1,0.18,0.32,0.37,-0.22,0.57,182,73.90,1
15:57:06,HeuristicController,ky=5.0,0,2,0.28,-0.20,0.16,0.37,0.58,252,403.10,1
15:57:06,HeuristicController,ky=5.0,0,3,0.25,0.33,0.28,-0.33,0.66,398,297.34,1
15:57:06,HeuristicController,ky=5.0,0,4,0.29,-0.43,-0.30,0.35,0.98,275,340.86,1
15:57:06,HeuristicController,ky=5.0,0,5,-0.27,0.44,-0.34,0.48,0.08,1,1.40,1
15:57:06,HeuristicController,ky=5.0,0,6,-0.27,0.44,0.02,0.42,0.30,288,308.14,1
15:57:06,HeuristicController,ky=5.0,0,7,-0.08,0.42,-0.34,-0.32,0.78,342,295.26,1
15:57:06,HeuristicController,ky=5.0,0,8,-0.41,-0.38,0.18,-0.28,0.60,649,655.98,1
15:57:06,HeuristicController,ky=5.0,0,9,0.08,-0.28,0.10,-0.16,0.13,27,43.20,1
15:57:06,HeuristicController,ky=5.0,0,10,0.13,-0.25,-0.25,0.27,0.65,163,238.30,1
15:57:06,HeuristicController,ky=5.0,0,11,-0.17,0.21,-0.28,0.20,0.10,2,1.82,1
15:57:06,HeuristicController,ky=5.0,0,12,-0.18,0.22,-0.48,0.32,0.31,39,52.24,1
15:57:06,HeuristicController,ky=5.0,0,13,-0.38,0.31,0.28,0.41,0.67,2057,2159.04,0
15:59:17,HeuristicController,ky=0.5,0,0,0.00,0.00,-0.23,-0.18,0.29,243,219.47,1
15:59:17,HeuristicController,ky=0.5,0,1,-0.13,-0.20,-0.04,0.05,0.26,287,328.66,1
