ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,near_vx_bin_counts,near_vy_bin_counts,near_theta_bin_counts,near_omega_bin_counts,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_omega_abs_p90
10,0,crash,1,0,1,-149.9485784701571,2410,,,0.9950112350131176,0.1,0.0010332911042496562,0.2884805202484131,-11.071512222290039,57.665016174316406,0.0,0.029264110446824976,78,-4.819999999999691,-65.1578425806042,-80.0,0.0,-0.062219327166040284,{1: 241},{1: 241},{1: 241},{1: 241},{},{},{},{},0.041537041977685846,0.030946254490465706,0.05007602334344395,0.051374058153447075,
20,0,max_steps,1,1,0,503.5115981181482,2500,872.0,872.0,0.9900473578023296,0.1,0.001062100869603455,0.3559194505214691,-11.071512222290039,65.04723358154297,500.0,8.509598118158108,1242,-4.997999999999672,0.0,0.0,0.0,0.20140463924725927,{1: 250},{1: 250},{1: 250},{1: 250},{1: 99},{1: 99},{1: 99},{1: 99},0.028583733594941527,0.024248401558995717,0.03886355695735544,0.04057780146502176,0.033489372920422186
30,0,max_steps,1,0,0,0.6199333322520206,2500,,,0.98510824420837,0.1,-4.4037055886292364e-06,0.3625170886516571,-11.071512222290039,65.04723358154297,0.0,8.490917441215236,1607,-4.999999999999671,-2.8709841089634893,0.0,0.0,0.00024797333290080823,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02344981170556226,0.02924635845377796,0.033295730621790635,0.03938376353479352,
40,0,max_steps,1,0,0,-34.81492128349851,2500,,,0.9801937706913741,0.1,-0.0011078043607994914,0.37146347761154175,-12.627298355102539,65.04723358154297,0.0,0.011709654461458663,18,-4.999999999999671,-29.826630937960235,0.0,0.0,-0.013925968513399403,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.018877101187851398,0.028841222305697904,0.025502512569542453,0.030732619833638182,
50,0,max_steps,1,0,0,-45.49805643372476,2500,,,0.9753038143277888,0.1,-0.0020243267063051462,0.37827470898628235,-12.627298355102539,65.04723358154297,0.0,0.07824024318470457,71,-4.999999999999671,-40.57629667690972,0.0,0.0,-0.018199222573489906,{1: 250},{1: 250},{1: 250},{1: 250},{1: 10},{1: 10},{1: 10},{1: 10},0.01777792011301887,0.0292166179045513,0.026472919807188206,0.031626107677353084,0.012451278059030456
60,0,crash,1,1,1,364.356508247988,2489,828.0,828.0,0.9704382528072976,0.1,-0.0012112536933273077,0.5166481733322144,-15.529874801635742,77.96109771728516,500.0,6.051327525552621,1035,-4.975999999999674,-56.71881927755575,-80.0,0.0,0.1463867048003166,{1: 248},{1: 248},{1: 248},{1: 248},{1: 82},{1: 82},{1: 82},{1: 82},0.02044234593041914,0.03125349646180825,0.030316764631147852,0.04206488712938008,0.03734187668350318
70,0,max_steps,1,0,0,5.478780817326831,2500,,,0.9655969644297613,0.1,-0.0014060888206586242,0.6003179550170898,-15.41670036315918,84.20889282226562,0.0,10.478780817326601,1596,-4.999999999999671,0.0,0.0,0.0,0.002191512326930732,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.0279555755687106,0.022279441776514832,0.037256646892127675,0.04607214337552004,
80,0,max_steps,1,0,0,3.995901227128294,2500,,,0.9607798281021742,0.1,-0.0017172711668536067,0.5544123649597168,-10.509453773498535,54.13820266723633,0.0,8.995901227128192,1568,-4.999999999999671,0.0,0.0,0.0,0.0015983604908513175,{1: 250},{1: 250},{1: 250},{1: 250},{1: 97},{1: 97},{1: 97},{1: 97},0.030510734766805426,0.026324231514094496,0.04110812708990726,0.0418904077832194,0.04400048458496339
90,0,max_steps,1,0,0,-56.5159738560708,2500,,,0.9559867233356352,0.1,-0.0017817647894844413,0.6700990200042725,-17.263717651367188,89.8284912109375,0.0,0.463792018260048,153,-4.999999999999671,-51.97976587433109,0.0,0.0,-0.02260638954242832,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.023996704946004924,0.026379413469950208,0.03579151627592936,0.03911549952141605,
100,0,max_steps,1,0,0,-8.902157930189988,2500,,,0.951217530242334,0.1,-0.0038596861995756626,0.6474114060401917,-20.335783004760742,50.77682876586914,0.0,0.013923884646155349,15,-4.999999999999671,-3.916081814836442,0.0,0.0,-0.003560863172075995,{1: 250},{1: 250},{1: 250},{1: 250},{1: 16},{1: 16},{1: 16},{1: 16},0.014558989837298914,0.02457422440142065,0.019807284833053915,0.023593875724714986,0.013311050704822351
