ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,near_vx_bin_counts,near_vy_bin_counts,near_theta_bin_counts,near_omega_bin_counts,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_omega_abs_p90
110,0,crash,1,0,1,-146.2252513320712,2136,,,0.9464721295325524,0.1,-0.004245995543897152,0.7627652287483215,-22.107563018798828,94.88700103759766,0.0,0.005500659507540195,15,-4.2719999999997516,-61.95875199157887,-80.0,0.0,-0.06845751466857265,{1: 213},{1: 213},{1: 213},{1: 213},{},{},{},{},0.023811128746471927,0.030950665119190306,0.03038370764883753,0.03275627270409817,
120,0,max_steps,1,0,0,-56.187423710434985,2500,,,0.9417504025116805,0.1,-0.0037849133368581533,0.9123056530952454,-24.07225799560547,107.3712158203125,0.0,0.0,0,-4.999999999999671,-51.187423710435255,0.0,0.0,-0.022474969484173993,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.015571601356236432,0.026143828688705423,0.02056246898680122,0.025528669809248325,
130,0,crash,1,0,1,-164.24552459731774,2460,,,0.937052231077248,0.1,-0.0031035642605274916,1.0633511543273926,-25.17362403869629,121.35858154296875,0.0,5.90404476838377,952,-4.91999999999968,-85.22956936570165,-80.0,0.0,-0.0667664734135438,{1: 246},{1: 246},{1: 246},{1: 246},{},{},{},{},0.023026498468063927,0.03016487590265486,0.030805007869729957,0.03219698329482186,
140,0,max_steps,1,0,0,-48.42334778422578,2500,,,0.9323774977159699,0.1,-0.0038229564670473337,1.0690805912017822,-27.072038650512695,121.35858154296875,0.0,7.532972826625388,1040,-4.999999999999671,-50.95632061085144,0.0,0.0,-0.019369339113690313,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02565834867138312,0.030158145384266855,0.034272827269763516,0.04760035770055578,
150,0,max_steps,1,0,0,-9.172276193819771,2500,,,0.9277260855008077,0.1,-0.0043326206505298615,1.10592782497406,-22.90223503112793,90.25873565673828,0.0,0.27413272413134016,160,-4.999999999999671,-4.446408917951401,0.0,0.0,-0.0036689104775279083,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.014040734652454846,0.0278772319443454,0.01954749723584386,0.028114035758192008,
160,0,crash,1,0,1,-146.01667785846672,2498,,,0.923097878088044,0.1,-0.00486342515796423,1.1726473569869995,-29.39571189880371,127.00210571289062,0.0,0.3110347328581953,212,-4.995999999999672,-61.331712591325164,-80.0,0.0,-0.05845343389049909,{1: 249},{1: 249},{1: 249},{1: 249},{},{},{},{},0.031133761157225454,0.030208018024359875,0.03940631324742183,0.043460609975315,
170,0,max_steps,1,0,0,4.285281956216544,2500,,,0.9184927597143733,0.1,-0.006111318711191416,1.1867750883102417,-31.281639099121094,127.00210571289062,0.0,9.285281956216238,1375,-4.999999999999671,0.0,0.0,0.0,0.0017141127824866174,{1: 250},{1: 250},{1: 250},{1: 250},{1: 54},{1: 54},{1: 54},{1: 54},0.04800430326484173,0.023351246036617247,0.05883451324137309,0.0630816446879905,0.06897516926588125
180,0,max_steps,1,0,0,2.5667544496717696,2500,,,0.9139106151940054,0.1,-0.006014809012413025,1.2547858953475952,-31.281639099121094,132.68394470214844,0.0,7.566754449671561,1720,-4.999999999999671,0.0,0.0,0.0,0.001026701779868708,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02814184755699153,0.02389446694848312,0.039222250530957854,0.04728073824673142,
190,0,max_steps,1,0,0,-0.10123856317518995,2500,,,0.9093513299157857,0.1,-0.007012140937149525,1.216346025466919,-33.02790069580078,95.53364562988281,0.0,4.8987614368247945,860,-4.999999999999671,0.0,0.0,0.0,-4.049542527007598e-05,{1: 250},{1: 250},{1: 250},{1: 250},{1: 226},{1: 226},{1: 226},{1: 226},0.02500689018863286,0.024004745304384595,0.030953689845949386,0.036155428033135456,0.033494482847493706
200,0,max_steps,1,0,0,-0.4950333962030747,2500,,,0.9048147898403269,0.1,-0.004758323542773724,1.4298843145370483,-33.02790069580078,144.8239288330078,0.0,4.504966603796868,860,-4.999999999999671,0.0,0.0,0.0,-0.00019801335848122987,{1: 250},{1: 250},{1: 250},{1: 250},{1: 10},{1: 10},{1: 10},{1: 10},0.029012523504170898,0.020611476856657616,0.042149534589303865,0.04627072188447224,0.0781638163545453
210,0,crash,1,1,1,334.6634692140855,2371,856.0,856.0,0.9003008814971583,0.1,-0.0039379410445690155,1.5674299001693726,-33.952640533447266,158.24636840820312,500.0,11.516359861769976,1017,-4.7399999999997,-92.11289064767665,-80.0,0.0,0.14114865846228827,{1: 237},{1: 237},{1: 237},{1: 237},{1: 18},{1: 18},{1: 18},{1: 18},0.04383199651766463,0.030147132921170303,0.04833749178288935,0.046104550763396736,0.029256405293824155
220,0,max_steps,1,0,0,-83.00328800080442,2500,,,0.895809491981886,0.1,-0.003800278762355447,1.6319224834442139,-31.53743553161621,162.60159301757812,0.0,3.3293580564489886,737,-4.999999999999671,-81.33264605725341,0.0,0.0,-0.03320131520032177,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.029295378752506294,0.029146356131797842,0.03770183106858726,0.04397443343786708,
230,0,max_steps,1,0,0,-3.2405462295675522,2500,,,0.8913405089533699,0.1,-0.0028701606206595898,1.764208197593689,-31.53743553161621,175.0566864013672,0.0,1.7594537704322102,630,-4.999999999999671,0.0,0.0,0.0,-0.001296218491827021,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02551946738586364,0.024514021414295,0.03786472623417201,0.036796117007100664,
240,0,crash,1,0,1,-176.51851448981301,2378,,,0.8868938206309135,0.1,-0.0028160514775663614,1.8287683725357056,-29.018993377685547,178.20364379882812,0.0,0.9635173098898615,467,-4.755999999999698,-92.72603179970297,-80.0,0.0,-0.07422982106384063,{1: 237},{1: 237},{1: 237},{1: 237},{1: 99},{1: 99},{1: 99},{1: 99},0.015075950585315885,0.029642602811884473,0.021143835536110624,0.02420464233696691,0.020672742446601593
250,0,max_steps,1,0,0,-2.247166237276881,2500,,,0.8824693157914677,0.1,-0.0034171652514487505,1.809544563293457,-36.25727462768555,155.53176879882812,0.0,2.7528337627230783,645,-4.999999999999671,0.0,0.0,0.0,-0.0008988664949107524,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.031804527389872356,0.02762207675436982,0.04410758720232976,0.03768177560170723,
260,0,crash,1,0,1,-124.51379535756118,2242,,,0.8780668837668493,0.1,-0.0052752261981368065,1.8263444900512695,-37.40293502807617,155.53176879882812,0.0,1.00569500233289,234,-4.483999999999728,-41.03549035989415,-80.0,0.0,-0.05553692924066065,{1: 224},{1: 224},{1: 224},{1: 224},{},{},{},{},0.02161774800926133,0.03907933531661046,0.03189260064222759,0.03872351680630338,
270,0,crash,1,0,1,-146.8203442794432,2287,,,0.8736864144409725,0.1,-0.007440449204295874,1.8158245086669922,-38.99959182739258,146.79473876953125,0.0,0.8885717360149259,435,-4.573999999999718,-63.134916015458245,-80.0,0.0,-0.06419778936573817,{1: 228},{1: 228},{1: 228},{1: 228},{},{},{},{},0.0258122178248707,0.03534316923140644,0.02915657422271052,0.031037691455128698,
280,0,max_steps,1,1,0,506.94283090191584,2500,505.0,505.0,0.8693277982470946,0.1,-0.007488045375794172,1.8861134052276611,-34.680843353271484,180.52891540527344,500.0,11.94083090193042,953,-4.997999999999672,0.0,0.0,0.0,0.20277713236076633,{1: 250},{1: 250},{1: 250},{1: 250},{1: 21},{1: 21},{1: 21},{1: 21},0.025267564059764817,0.0374429663368513,0.032485930360915294,0.04617278184046496,0.025121390091600762
290,0,max_steps,1,0,0,1.8761907419446833,2500,,,0.864990926165076,0.1,-0.00833837129175663,1.8879508972167969,-35.042301177978516,180.52891540527344,0.0,6.876190741944464,1130,-4.999999999999671,0.0,0.0,0.0,0.0007504762967778734,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.0371988354382467,0.0206247563442858,0.047208657174228966,0.055170567701110056,
300,0,max_steps,1,0,0,-93.48221171118709,2500,,,0.8606756897186528,0.1,-0.009117979556322098,1.8927178382873535,-34.82868576049805,180.52891540527344,0.0,7.497477045867226,928,-4.999999999999671,-95.97968875705438,0.0,0.0,-0.03739288468447484,{1: 250},{1: 250},{1: 250},{1: 250},{1: 99},{1: 99},{1: 99},{1: 99},0.03342091182283458,0.03250628174429939,0.048539806461143455,0.059111296612230226,0.06614938195323976
310,0,crash,1,0,1,-143.07106789370226,2438,,,0.8563819809727236,0.1,-0.009543260559439659,1.9514778852462769,-34.20404815673828,184.02197265625,0.0,18.765884902430596,1415,-4.875999999999685,-76.96095279613262,-80.0,0.0,-0.0586837850261289,{1: 243},{1: 243},{1: 243},{1: 243},{1: 21},{1: 21},{1: 21},{1: 21},0.045913411436295314,0.03229846494228716,0.061386458081204305,0.06716018753910226,0.06728386228437964
320,0,max_steps,1,0,0,-3.0173211702599874,2500,,,0.8521096925306499,0.1,-0.01017018873244524,1.9934589862823486,-37.86836624145508,185.5076904296875,0.0,1.9826788297398983,565,-4.999999999999671,0.0,0.0,0.0,-0.001206928468103995,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.023260581170401536,0.024105088818799695,0.030399237483373375,0.03269470624289568,
330,0,max_steps,1,0,0,-3.01180851364253,2500,,,0.84785871753157,0.1,-0.009929177351295948,2.0593745708465576,-37.86836624145508,193.56993103027344,0.0,1.9881914863572614,566,-4.999999999999671,0.0,0.0,0.0,-0.0012047234054570121,{1: 250},{1: 250},{1: 250},{1: 250},{1: 40},{1: 40},{1: 40},{1: 40},0.02569905134104319,0.022915597493121432,0.033719394153327885,0.042571089999265156,0.05821619081848736
340,0,max_steps,1,0,0,5.466677216140506,2500,,,0.8436289496477257,0.1,-0.009909127838909626,2.081943988800049,-36.478092193603516,188.19435119628906,0.0,10.466677216140258,1313,-4.999999999999671,0.0,0.0,0.0,0.0021866708864562026,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03727386698197668,0.029667618823704025,0.05343262822593488,0.054912446007667995,
350,0,crash,1,0,1,-155.57748091119646,2215,,,0.8394202830818028,0.1,-0.009798059239983559,2.0840439796447754,-39.34650421142578,166.14353942871094,0.0,0.7392454125721509,333,-4.429999999999734,-71.88672632376876,-80.0,0.0,-0.07023814036622865,{1: 221},{1: 221},{1: 221},{1: 221},{},{},{},{},0.0463040993639533,0.037124730151088935,0.06407577703026772,0.07381472136910387,
360,0,max_steps,1,0,0,-3.424849381829718,2500,,,0.8352326125642855,0.1,-0.008906366303563118,2.205625295639038,-40.02387237548828,200.32034301757812,0.0,1.6501240292648434,676,-4.999999999999671,-0.07497341109479982,0.0,0.0,-0.0013699397527318872,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.06490267783953486,0.03228023555280214,0.07550139433061087,0.06954075504182396,
370,0,max_steps,1,1,0,460.5527124486883,2500,680.0,680.0,0.8310658333508228,0.1,-0.007552749011665583,2.2894058227539062,-41.735225677490234,208.16188049316406,500.0,16.528494942072236,740,-4.997999999999672,-50.97778249344637,0.0,0.0,0.1842210849794753,{1: 250},{1: 250},{1: 250},{1: 250},{1: 21},{1: 21},{1: 21},{1: 21},0.06003520344496745,0.035800559316582624,0.07298753899390155,0.06576538003190656,0.04372060746668076
380,0,crash,1,0,1,-149.30604571749,2389,,,0.8269198412196082,0.1,-0.007013073656708002,2.333249807357788,-41.735225677490234,211.8487091064453,0.0,11.602139004286643,1345,-4.777999999999696,-76.13018472177662,-80.0,0.0,-0.06249729833298033,{1: 238},{1: 238},{1: 238},{1: 238},{1: 24},{1: 24},{1: 24},{1: 24},0.02234303432423179,0.03392334397696491,0.027958297664511238,0.0343023400303358,0.03307353010344421
390,0,max_steps,1,1,0,506.7242889530581,2500,271.0,271.0,0.8227945324687735,0.1,-0.005976011045277119,2.410701036453247,-41.735225677490234,217.45391845703125,500.0,11.722288953071464,1072,-4.997999999999672,0.0,0.0,0.0,0.20268971558122323,{1: 250},{1: 250},{1: 250},{1: 250},{1: 27},{1: 27},{1: 27},{1: 27},0.03242114306430497,0.04021828822515031,0.04479741682835929,0.043197367670864836,0.02796457428067697
400,0,max_steps,1,0,0,1.3518063685046224,2500,,,0.8186898039137951,0.1,-0.0059009455144405365,2.4584901332855225,-41.735225677490234,220.5834503173828,0.0,6.351806368504578,1091,-4.999999999999671,0.0,0.0,0.0,0.000540722547401849,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.036935817091865566,0.02953140856997164,0.0553576725282497,0.05932769440797128,
410,0,max_steps,1,0,0,-40.69699406690207,2500,,,0.8146055528849124,0.1,-0.005266273859888315,2.4724836349487305,-38.53093338012695,222.2533721923828,0.0,0.4695693577260657,176,-4.999999999999671,-36.16656342462836,0.0,0.0,-0.01627879762676083,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.043573077485357485,0.0333004746411146,0.0637026582565758,0.06321436236012941,
420,0,max_steps,1,0,0,1.3364966547969335,2500,,,0.8105416772245603,0.1,-0.005555442068725824,2.4700117111206055,-38.53093338012695,222.2533721923828,0.0,6.3364966547968535,847,-4.999999999999671,0.0,0.0,0.0,0.0005345986619187734,{1: 250},{1: 250},{1: 250},{1: 250},{1: 9},{1: 9},{1: 9},{1: 9},0.034879880640057356,0.030891941841556764,0.04698848624950944,0.05200378986179234,0.05921744735436862
430,0,max_steps,1,0,0,-47.12726441269098,2500,,,0.8064980752848135,0.1,-0.006023510359227657,2.5295982360839844,-38.17106628417969,228.5946502685547,0.0,18.71659908294275,1233,-4.999999999999671,-60.8438634956336,0.0,0.0,-0.018850905765076392,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.06920189737982876,0.03422052111629105,0.09984092601684363,0.11022955293247337,
440,0,crash,1,0,1,-135.67393040937384,1922,,,0.8024746459248447,0.1,-0.005071429535746574,2.636662721633911,-43.31220245361328,237.56570434570312,0.0,1.293564314149284,571,-3.8439999999997982,-53.12349472352321,-80.0,0.0,-0.07058997419842551,{1: 192},{1: 192},{1: 192},{1: 192},{},{},{},{},0.0281757510104023,0.03870108551756758,0.04103944958312656,0.041929882683360835,
450,0,max_steps,1,0,0,-2.892769988371218,2500,,,0.7984712885083941,0.1,-0.005137510132044554,2.6848342418670654,-44.1047477722168,239.8431854248047,0.0,2.1072300116285776,667,-4.999999999999671,0.0,0.0,0.0,-0.0011571079953484873,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.047281657033134174,0.02713134067258976,0.0659307121164347,0.05469490965824766,
460,0,max_steps,1,0,0,4.197581077060554,2500,,,0.7944879029012528,0.1,-0.005254697985947132,2.6822311878204346,-44.1047477722168,239.8431854248047,0.0,11.557064302273048,1227,-4.999999999999671,-2.3594832252127906,0.0,0.0,0.0016790324308242216,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.039681092121005644,0.02944062049112601,0.0561563128751588,0.06592062135275284,
470,0,crash,1,0,1,-146.40815502565175,2401,,,0.7905243894687576,0.1,-0.005773759447038174,2.740511655807495,-41.318580627441406,243.04913330078125,0.0,5.472731665549684,817,-4.801999999999693,-67.07888669120165,-80.0,0.0,-0.06097799043134184,{1: 240},{1: 240},{1: 240},{1: 240},{1: 85},{1: 85},{1: 85},{1: 85},0.03788216077336241,0.03453783016479795,0.04708534182618596,0.05016602665625854,0.022512332146253696
480,0,max_steps,1,0,0,7.305665089957527,2500,,,0.7865806490732993,0.1,-0.00628290232270956,2.708500862121582,-43.99528121948242,218.85104370117188,0.0,12.305665089957444,1202,-4.999999999999671,0.0,0.0,0.0,0.002922266035983011,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.05845979502283791,0.029159974164290538,0.07227560998257372,0.067890208125294,
490,0,crash,1,0,1,-155.62368791208007,2198,,,0.7826565830718433,0.1,-0.008140024729073048,2.662274122238159,-40.30448913574219,212.37474060058594,0.0,0.02642976759586191,28,-4.395999999999738,-71.2541176796761,-80.0,0.0,-0.07080240578347592,{1: 219},{1: 219},{1: 219},{1: 219},{},{},{},{},0.04210711260735802,0.03622982157848251,0.051948312620234895,0.04497918106767687,
500,0,crash,1,0,1,-176.76920034424222,1817,,,0.7787520933134615,0.1,-0.007604398764669895,2.71868634223938,-44.773155212402344,216.27362060546875,0.0,0.09640895388600135,58,-3.6339999999998214,-93.23160929812832,-80.0,0.0,-0.09728629628191647,{1: 181},{1: 181},{1: 181},{1: 181},{},{},{},{},0.023618770189495576,0.05713749674622088,0.02664853792905795,0.029072412467384,
510,0,max_steps,1,0,0,14.658200175698934,2500,,,0.7748670821368779,0.1,-0.008190275169909,2.6496422290802,-44.773155212402344,208.64511108398438,0.0,19.658200175698873,1724,-4.999999999999671,0.0,0.0,0.0,0.005863280070279573,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.04742996607173871,0.026539222474923047,0.06092557502920843,0.06690466364931887,
520,0,max_steps,1,0,0,5.3288216923402025,2500,,,0.7710014523680259,0.1,-0.008023255504667759,2.6580660343170166,-44.773155212402344,230.1154022216797,0.0,10.328821692339886,1272,-4.999999999999671,0.0,0.0,0.0,0.002131528676936081,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.06742535447008012,0.03186867866261017,0.0929295072832655,0.078464298485178,
530,0,crash,1,0,1,-137.75842154632267,2023,,,0.7671551073176169,0.1,-0.00882119219750166,2.6650829315185547,-46.3957405090332,230.1154022216797,0.0,3.5171079767549074,247,-4.045999999999776,-57.22952952307759,-80.0,0.0,-0.06809610555923018,{1: 202},{1: 202},{1: 202},{1: 202},{},{},{},{},0.048990558842396954,0.05574682773428683,0.0635256506318313,0.07378070751284915,
540,0,max_steps,1,0,0,-4.608778793674045,2500,,,0.7633279507787228,0.1,-0.00882009882479906,2.690436363220215,-44.15068054199219,229.8876953125,0.0,0.39122120632567037,182,-4.999999999999671,0.0,0.0,0.0,-0.0018435115174696179,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.01999761138512231,0.024238307323913418,0.02727122333574166,0.02556070524859292,
550,0,crash,1,0,1,-148.5925951769493,2377,,,0.7595198870243695,0.1,-0.00960452388972044,2.699294090270996,-45.18925476074219,205.55508422851562,0.0,6.848175457603532,915,-4.7539999999996985,-70.68677063455304,-80.0,0.0,-0.0625126609915647,{1: 237},{1: 237},{1: 237},{1: 237},{1: 85},{1: 85},{1: 85},{1: 85},0.033578183689588384,0.03867256403714084,0.04459930109963744,0.04817531885307711,0.05881739145719975
560,0,crash,1,0,1,-126.91044952454466,2329,,,0.7557308208051414,0.1,-0.008795641362667084,2.72452449798584,-43.4454231262207,206.22418212890625,0.0,4.063110925437821,836,-4.657999999999709,-46.3155604499825,-80.0,0.0,-0.05449139095085644,{1: 232},{1: 232},{1: 232},{1: 232},{},{},{},{},0.0281600968484981,0.03473100979462432,0.04147993130560151,0.05273647380763552,
570,0,crash,1,0,1,-166.10392849240378,2457,,,0.751960657346801,0.1,-0.010031322948634624,2.7309226989746094,-44.81793212890625,206.22418212890625,0.0,0.12807363014606665,132,-4.913999999999681,-81.31800212255,-80.0,0.0,-0.06760436650077484,{1: 245},{1: 245},{1: 245},{1: 245},{},{},{},{},0.025065552035659525,0.029586616001331983,0.03356150137417389,0.03974962820121694,
580,0,max_steps,1,1,0,517.1351202717761,2500,2383.0,2383.0,0.748209302347916,0.1,-0.009138495661318302,2.8072423934936523,-47.1549072265625,232.37794494628906,500.0,22.133120271770842,1770,-4.997999999999672,0.0,0.0,0.0,0.20685404810871047,{1: 250},{1: 250},{1: 250},{1: 250},{1: 138},{1: 138},{1: 138},{1: 138},0.06890149593614577,0.024761235178591863,0.08948181696197112,0.08076132942256382,0.07049409138212683
590,0,max_steps,1,0,0,-3.9593175543146475,2500,,,0.7444766619775032,0.1,-0.009176531806588173,2.8653156757354736,-47.951210021972656,237.5609130859375,0.0,4.627522947310353,944,-4.999999999999671,-3.5868405016249967,0.0,0.0,-0.001583727021725859,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.04834573026772606,0.04552725997360015,0.06603979452395353,0.06975597019508815,
600,0,max_steps,1,0,0,3.8122550141263707,2500,,,0.7407626428726788,0.1,-0.010230750776827335,2.725534439086914,-48.61076736450195,200.79910278320312,0.0,8.812255014126025,769,-4.999999999999671,0.0,0.0,0.0,0.0015249020056505482,{1: 250},{1: 250},{1: 250},{1: 250},{1: 42},{1: 42},{1: 42},{1: 42},0.04272757737248492,0.0375130079896932,0.05726387910946132,0.06007013986513436,0.039787978223581176
610,0,max_steps,1,0,0,0.2114780809234167,2500,,,0.737067152136325,0.1,-0.009083304554224014,2.8281586170196533,-48.61076736450195,238.3190155029297,0.0,5.211478080923236,726,-4.999999999999671,0.0,0.0,0.0,8.459123236936667e-05,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.028305540885109247,0.022580132870049528,0.043451609181828395,0.0494385825111019,
620,0,max_steps,1,0,0,1.3012337886853889,2500,,,0.7333900973347661,0.1,-0.008934149518609047,2.8668997287750244,-48.61076736450195,235.04058837890625,0.0,6.30123378868522,1351,-4.999999999999671,0.0,0.0,0.0,0.0005204935154741556,{1: 250},{1: 250},{1: 250},{1: 250},{1: 175},{1: 175},{1: 175},{1: 175},0.028126249655946806,0.023607410419628046,0.030529822851497815,0.03070652728248459,0.03441844080641416
630,0,crash,1,1,1,370.923843125115,1633,257.0,257.0,0.7297313864954562,0.1,-0.00908713135868311,2.8625175952911377,-48.61076736450195,230.78199768066406,500.0,9.991444654384521,935,-3.263999999999862,-55.80360152926438,-80.0,0.0,0.2271425861145836,{1: 163},{1: 163},{1: 163},{1: 163},{1: 25},{1: 25},{1: 25},{1: 25},0.03431854656811533,0.050059897655839417,0.04898546613413523,0.05411909128618193,0.03255321264865157
640,0,max_steps,1,0,0,-18.90650434315702,2500,,,0.7260909281046787,0.1,-0.010187314823269844,2.862172842025757,-49.18467712402344,230.78199768066406,0.0,8.569273130099305,1263,-4.999999999999671,-22.475777473256432,0.0,0.0,-0.0075626017372628085,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.04226593127241637,0.03404840432522861,0.051691500212404165,0.05804696428329462,
650,0,crash,1,0,1,-93.39378229052954,2172,,,0.7224686311052574,0.1,-0.010508410632610321,2.8969759941101074,-49.299034118652344,233.2364044189453,0.0,3.114308146227459,412,-4.343999999999744,-12.164090436757013,-80.0,0.0,-0.0429989789551241,{1: 217},{1: 217},"{1: 212, 0: 5}",{1: 217},{},{},{},{},0.07966013334968877,0.032119776308447076,0.10543748883908229,0.10815300944997285,
