ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,-18.72137305672111,2500,,,0.9950112350131176,0.1,0.005422145593911409,0.4050239324569702,-0.4295250475406647,57.97446060180664,0.0,6.278626943278989,632,-25.00000000000111,0.0,0.0,-0.007488549222688444,{6: 250},"{4: 22, 3: 194, 2: 34}",{1: 250},"{1: 222, 2: 28}",{1: 250},{1: 250},0.006269984945710589,0.010382919803222701,0.008530228594836962,0.013872795003513554,0.01754593098696693,0.03268127627005185,0.022927467762755938,0.03100720027302867,,,,
20,0,max_steps,1,0,0,0.9486111499942377,2500,,,0.9900473578023296,0.1,0.007730696815997362,0.5339247584342957,-0.4295250475406647,62.839664459228516,0.0,25.94861114999406,1724,-25.00000000000111,0.0,0.0,0.0003794444599976951,"{1: 35, 2: 215}","{2: 53, 3: 197}",{1: 250},"{1: 238, 0: 12}",{1: 250},{1: 250},0.007582453875312691,0.009139064715865878,0.010774818327394287,0.013517704480503673,0.020261903825672042,0.021917524167494658,0.02630513320002209,0.030548649333757255,,,,
30,0,max_steps,1,0,0,-10.907227835050222,2500,,,0.98510824420837,0.1,0.012081754393875599,0.635307788848877,-0.4697195589542389,65.4150390625,0.0,14.092772164949674,1053,-25.00000000000111,0.0,0.0,-0.004362891134020088,"{4: 202, 5: 48}","{3: 216, 2: 34}",{1: 250},"{1: 245, 2: 4, 0: 1}",{1: 250},{1: 250},0.007199400026076034,0.0075671582693285265,0.011858524546598526,0.018494638053015384,0.031140341333190956,0.019088366102334275,0.04607030963207347,0.053216902204937765,,,,
40,0,max_steps,1,0,0,15.280194491598758,2500,,,0.9801937706913741,0.1,0.014379526488482952,0.7204295992851257,-0.5012041330337524,77.2033462524414,0.0,40.28019449159866,1786,-25.00000000000111,0.0,0.0,0.006112077796639503,"{1: 130, 2: 120}","{1: 11, 2: 58, 3: 181}",{1: 250},"{1: 208, 0: 41, 2: 1}",{1: 250},{1: 250},0.010065849142289902,0.009347829114912717,0.01599706787018332,0.021034188008488247,0.02826574282596065,0.04707178115450832,0.0408158133922124,0.04619563693925456,,,,
50,0,max_steps,1,1,0,530.6817792016705,2500,705.0,705.0,0.9753038143277888,0.1,0.018873773515224457,0.8574556708335876,-0.41616979241371155,95.10394287109375,500.0,55.67177920166308,1825,-24.990000000001107,0.0,0.0,0.2122727116806682,"{2: 64, 3: 6, 4: 180}","{1: 20, 2: 45, 3: 173, 4: 12}",{1: 250},"{1: 177, 0: 51, 2: 22}",{1: 250},{1: 250},0.010182163584513414,0.010291451061094905,0.014562621765510824,0.017142277272210113,0.02246104550021816,0.04857851383599956,0.03148239869002338,0.038245504475191754,0.025567477442787923,0.048190707345035846,0.037481242627893936,0.04642127398714024
60,0,max_steps,1,0,0,-6.977288898909141,2500,,,0.9704382528072976,0.1,0.020985281094908714,0.9249507784843445,-0.5097419619560242,83.71128845214844,0.0,18.022711101090714,1111,-25.00000000000111,0.0,0.0,-0.0027909155595636564,{4: 250},"{4: 19, 3: 195, 2: 36}",{1: 250},"{1: 219, 2: 31}",{1: 250},{1: 250},0.010205902093519549,0.00986196597800866,0.015292793773915205,0.018572538098179825,0.026448143822273285,0.03418058279613896,0.0373489389443456,0.043573636237513834,,,,
70,0,max_steps,1,1,0,525.9100250531541,2500,386.0,386.0,0.9655969644297613,0.1,0.023199671879410744,1.0200831890106201,-0.5837371349334717,90.13299560546875,500.0,50.90002505314624,1686,-24.990000000001107,0.0,0.0,0.21036401002126162,"{3: 38, 2: 212}","{1: 13, 2: 37, 5: 13, 4: 22, 3: 165}",{1: 250},"{1: 180, 0: 31, 2: 39}",{1: 250},{1: 250},0.009011951741735871,0.01267948721235115,0.012681442390023374,0.013885540681431063,0.0183135306493818,0.053336484895583194,0.025312631749183027,0.029042447000682085,0.01931017783243533,0.052650372898283684,0.02014066811921303,0.04594472365921387
80,0,max_steps,1,0,0,8.833399705898396,2500,,,0.9607798281021742,0.1,0.026364080607891083,1.1353299617767334,-0.6542598009109497,95.03370666503906,0.0,33.833399705898174,1420,-25.00000000000111,0.0,0.0,0.003533359882359358,"{5: 209, 6: 41}","{1: 10, 2: 37, 3: 203}",{1: 250},"{1: 213, 0: 37}",{1: 250},{1: 250},0.014982477126758036,0.009863037216666813,0.021089255498572455,0.028115739885626257,0.03468407938619419,0.05491005150012184,0.05280006270901949,0.06839424454841007,,,,
90,0,max_steps,1,1,0,513.9989251655501,2500,1802.0,1802.0,0.9559867233356352,0.1,0.030654970556497574,1.3155514001846313,-0.7922545671463013,104.61122131347656,500.0,38.98892516554642,1438,-24.990000000001107,0.0,0.0,0.20559957006622004,"{2: 176, 3: 4, 6: 70}","{2: 66, 3: 173, 1: 11}",{1: 250},"{1: 199, 0: 51}",{1: 250},{1: 250},0.014781939231923304,0.011939651222180183,0.021018361545464905,0.021808972359410574,0.03008672167064595,0.04483907747368176,0.03998901901227104,0.04508145233807552,0.02951846759617763,0.01704673647480789,0.03782306754994909,0.03907553760076576
100,0,max_steps,1,0,0,27.388946040864322,2500,,,0.951217530242334,0.1,0.03385403752326965,1.4107654094696045,-0.7184940576553345,117.47987365722656,0.0,52.38894604086511,1505,-25.00000000000111,0.0,0.0,0.01095557841634573,"{1: 41, 2: 209}","{5: 16, 4: 16, 3: 179, 2: 39}",{1: 250},"{1: 208, 2: 42}",{1: 250},{1: 250},0.012129166330914314,0.008797457995573667,0.016466452164262887,0.020395818371713594,0.024893391501941784,0.0586552712520191,0.03568802204390169,0.044308076771281756,,,,
110,0,max_steps,1,0,0,-5.813421029928899,2500,,,0.9464721295325524,0.1,0.03466183692216873,1.4279063940048218,-0.7823755741119385,124.28158569335938,0.0,19.18657897007081,1225,-25.00000000000111,0.0,0.0,-0.0023253684119715597,"{0: 160, 1: 90}","{2: 37, 3: 213}",{1: 250},"{1: 249, 2: 1}",{1: 250},{1: 250},0.0063232674681597215,0.008814372843563904,0.010386337633348562,0.015339593296388464,0.017017270585982867,0.021440323272460465,0.02424202347920832,0.03795278503487735,,,,
120,0,max_steps,1,0,0,10.923807709156115,2500,,,0.9417504025116805,0.1,0.0377320758998394,1.529255986213684,-0.7294628620147705,107.02549743652344,0.0,35.92380770915585,1681,-25.00000000000111,0.0,0.0,0.004369523083662446,"{1: 124, 2: 126}","{4: 19, 3: 201, 2: 30}",{1: 250},"{1: 223, 2: 27}",{1: 250},{1: 250},0.009903331684541064,0.008263289735872356,0.01641189037107821,0.018853960190978816,0.02944688761116738,0.0366408121493274,0.037748717011109524,0.03749964979207346,,,,
130,0,max_steps,1,0,0,-7.846338130732055,2500,,,0.937052231077248,0.1,0.038934461772441864,1.5686061382293701,-0.7390323281288147,107.02549743652344,0.0,17.1536618692676,903,-25.00000000000111,0.0,0.0,-0.003138535252292822,"{1: 58, 0: 192}","{2: 47, 3: 203}",{1: 250},"{1: 233, 0: 17}",{1: 250},{1: 250},0.009073585889954739,0.007663049346262775,0.014420236047200212,0.018856791429999895,0.024091303733067525,0.0257368000074023,0.04095496612374507,0.055240132619938605,,,,
140,0,max_steps,1,0,0,-3.937548304802642,2500,,,0.9323774977159699,0.1,0.041138093918561935,1.6553071737289429,-0.710841953754425,130.3682403564453,0.0,21.062451695197097,891,-25.00000000000111,0.0,0.0,-0.0015750193219210566,"{5: 135, 6: 115}","{1: 19, 2: 46, 3: 185}",{1: 250},"{1: 197, 0: 43, 2: 10}",{1: 250},{1: 250},0.00964229492213367,0.010183833328739823,0.01354793200521481,0.016212513467946374,0.027875994935077923,0.05334587173218828,0.044653131233292225,0.051953038326080586,,,,
150,0,max_steps,1,0,0,-13.721198545867603,2500,,,0.9277260855008077,0.1,0.046433448791503906,1.7454925775527954,-0.8478472232818604,121.33920288085938,0.0,11.27880145413208,635,-25.00000000000111,0.0,0.0,-0.005488479418347041,"{3: 33, 4: 185, 5: 32}","{2: 66, 3: 184}",{1: 250},"{1: 233, 0: 17}",{1: 250},{1: 250},0.0073191699884414575,0.008597263919410915,0.008299292977901277,0.011693340003474212,0.019091678302261904,0.02050674384590691,0.02777419827099244,0.030077478106929196,0.02872348112738095,0.041973853651531404,0.03677832664341247,0.03323143875763268
160,0,max_steps,1,1,0,539.8676457476311,2500,1446.0,1446.0,0.923097878088044,0.1,0.04843300208449364,1.814861536026001,-0.819462776184082,133.63137817382812,500.0,64.85764574762995,1880,-24.990000000001107,0.0,0.0,0.21594705829905242,"{3: 19, 2: 125, 6: 102, 5: 4}","{5: 14, 4: 21, 3: 113, 2: 52, 0: 35, 1: 15}",{1: 250},"{1: 125, 2: 45, 0: 80}",{1: 250},{1: 250},0.010127367377385708,0.030185998634095795,0.01618981953879505,0.018639728073339697,0.027937174587838273,0.06720889309812325,0.03991949185198496,0.03770614814845918,0.03290156585500915,0.048046845046139805,0.040524531635471706,0.02734801828353004
170,0,max_steps,1,0,0,7.564185961754463,2500,,,0.9184927597143733,0.1,0.04959920048713684,1.863464117050171,-0.984167218208313,135.86813354492188,0.0,32.56418596175513,1044,-25.00000000000111,0.0,0.0,0.003025674384701785,"{5: 171, 4: 79}","{5: 3, 4: 24, 3: 188, 2: 35}",{1: 250},"{1: 213, 2: 37}",{1: 250},{1: 250},0.011919583269143625,0.007730286526618623,0.016825261676317316,0.019121518775644455,0.03975167921778985,0.045055211771945436,0.05630053466302092,0.05115500435363018,,,,
180,0,max_steps,1,0,0,21.513274790165486,2500,,,0.9139106151940054,0.1,0.05058928206562996,1.893526554107666,-1.039093255996704,135.86813354492188,0.0,46.513274790167074,1445,-25.00000000000111,0.0,0.0,0.008605309916066194,"{1: 96, 2: 154}","{5: 13, 4: 18, 3: 191, 2: 28}",{1: 250},"{1: 212, 2: 38}",{1: 250},{1: 250},0.013535784357370231,0.006789388921745696,0.016904928806802895,0.01747043694196308,0.03157524533804289,0.0597757613623209,0.03571838216006955,0.04285670968238904,,,,
190,0,max_steps,1,0,0,12.299527730321259,2500,,,0.9093513299157857,0.1,0.05899347364902496,2.157325029373169,-0.9505674242973328,149.94979858398438,0.0,37.29952773032099,1415,-25.00000000000111,0.0,0.0,0.004919811092128503,"{5: 83, 6: 167}","{4: 23, 3: 180, 2: 47}","{1: 215, 0: 24, 2: 11}","{1: 211, 2: 37, 0: 2}","{1: 240, 0: 10}","{1: 234, 2: 5, 0: 11}",0.014328720317558125,0.010889467277349765,0.02198737681811405,0.02791982083780395,0.05411320854820747,0.04668007348312121,0.07510381644242996,0.09154705699284135,,,,
200,0,max_steps,1,0,0,-12.785996097427006,2500,,,0.9048147898403269,0.1,0.061001818627119064,2.2229163646698,-0.9243019819259644,134.1171875,0.0,12.21400390257261,1069,-25.00000000000111,0.0,0.0,-0.0051143984389708025,{6: 250},"{2: 29, 3: 221}",{1: 250},"{1: 227, 0: 23}",{1: 250},{1: 250},0.008691388320967795,0.012585094869397701,0.015237884092146728,0.02273268797750823,0.028933636034413287,0.028604731964724534,0.0412456229248421,0.055070079502995695,,,,
210,0,max_steps,1,0,0,-10.492368476063952,2500,,,0.9003008814971583,0.1,0.06517906486988068,2.3050854206085205,-0.9792731404304504,162.70086669921875,0.0,14.507631523935759,1098,-25.00000000000111,0.0,0.0,-0.004196947390425581,"{5: 123, 6: 127}","{4: 6, 3: 213, 2: 31}",{1: 250},"{1: 237, 2: 13}",{1: 250},{1: 250},0.009755892380825857,0.0069834569666358814,0.015367966580160541,0.01771090083767231,0.028870434972746665,0.018357660687699822,0.041489850335564855,0.05190842298534078,,,,
220,0,max_steps,1,0,0,5.33114886053343,2500,,,0.895809491981886,0.1,0.06922110170125961,2.404494524002075,-1.0570170879364014,170.68408203125,0.0,30.331148860533084,1192,-25.00000000000111,0.0,0.0,0.002132459544213372,{2: 250},"{2: 66, 3: 184}",{1: 250},"{1: 239, 0: 11}",{1: 250},{1: 250},0.01443618931634056,0.005673532394878658,0.02220159451638109,0.027167805993646623,0.027624123333018613,0.018291216937836963,0.04223202884742469,0.05668678739492223,,,,
230,0,max_steps,1,0,0,19.210311228247008,2500,,,0.8913405089533699,0.1,0.07086047530174255,2.3857316970825195,-0.8469400405883789,143.0457763671875,0.0,44.21031122824759,1753,-25.00000000000111,0.0,0.0,0.007684124491298803,"{1: 180, 2: 70}","{4: 20, 3: 190, 2: 40}",{1: 250},"{1: 222, 2: 28}",{1: 250},{1: 250},0.010003710015789303,0.007267904850730927,0.015512616917020734,0.019908011610201226,0.03350954400431479,0.04046528810228416,0.05006916920159107,0.054912762323820724,,,,
240,0,max_steps,1,0,0,-7.0942678790035245,2500,,,0.8868938206309135,0.1,0.07158242911100388,2.385925531387329,-0.8674872517585754,146.9488525390625,0.0,17.90573212099632,1329,-25.00000000000111,0.0,0.0,-0.00283770715160141,{4: 250},"{2: 46, 3: 204}",{1: 250},"{1: 246, 0: 4}",{1: 250},{1: 250},0.006979761502864333,0.011616427223253085,0.011681002393493758,0.016943564328770054,0.023732081177893456,0.020825095835123188,0.03468536293640678,0.034607664705982304,,,,
250,0,max_steps,1,0,0,-9.44167114542385,2500,,,0.8824693157914677,0.1,0.07222702354192734,2.404392719268799,-0.8513692021369934,165.46875,0.0,15.55832885457586,1331,-25.00000000000111,0.0,0.0,-0.00377666845816954,"{0: 131, 1: 119}","{3: 209, 2: 41}",{1: 250},"{1: 247, 2: 2, 0: 1}",{1: 250},{1: 250},0.006230045801055973,0.009939942849493021,0.01091652141398944,0.012880430441507718,0.015276898894744663,0.02325443768728805,0.02306551518782573,0.03674403233114296,,,,
260,0,max_steps,1,0,0,-17.29601690779144,2500,,,0.8780668837668493,0.1,0.07210061699151993,2.4033539295196533,-1.0104365348815918,165.46875,0.0,7.703983092208352,551,-25.00000000000111,0.0,0.0,-0.006918406763116576,"{5: 44, 6: 206}","{3: 220, 2: 30}",{1: 250},{1: 250},{1: 250},{1: 250},0.007682347592843069,0.00702291381140825,0.010916656898325085,0.018962327370672844,0.03299933197694053,0.0167487999280005,0.04926412981798799,0.05650875343547402,,,,
270,0,max_steps,1,0,0,12.904669061583618,2500,,,0.8736864144409725,0.1,0.07296823710203171,2.416989326477051,-0.9341204762458801,146.9488525390625,0.0,37.904669061584784,1547,-25.00000000000111,0.0,0.0,0.005161867624633447,"{1: 26, 2: 224}","{4: 27, 3: 186, 2: 37}",{1: 250},"{1: 217, 2: 33}",{1: 250},{1: 250},0.007056818885746203,0.007540136271055073,0.010470401354741645,0.0134189742972382,0.025512764583764343,0.040963192947654346,0.03261690049531165,0.03457208237233637,,,,
280,0,max_steps,1,0,0,-2.2474741567838286,2500,,,0.8693277982470946,0.1,0.07801154255867004,2.5995662212371826,-0.9822440147399902,201.21617126464844,0.0,22.752525843216112,1379,-25.00000000000111,0.0,0.0,-0.0008989896627135314,{1: 250},"{4: 11, 3: 224, 2: 15}",{1: 250},"{1: 229, 2: 21}",{1: 250},{1: 250},0.00927152727442731,0.011914039293121074,0.012964464063199538,0.021718785667527968,0.027901419130631093,0.02862219924877698,0.041672989293542885,0.05212627736405264,,,,
290,0,max_steps,1,1,0,515.1553971705707,2500,255.0,255.0,0.864990926165076,0.1,0.07975764572620392,2.6312172412872314,-0.8088598847389221,183.7152862548828,500.0,40.14539717055965,1219,-24.990000000001107,0.0,0.0,0.2060621588682283,"{3: 25, 5: 57, 6: 168}","{2: 59, 3: 191}","{1: 193, 0: 57}","{1: 221, 0: 29}","{1: 229, 0: 21}","{1: 203, 2: 24, 0: 23}",0.02645161882688174,0.009779202241676953,0.04683793890466889,0.050978695144011946,0.06790018763524039,0.032434671727513485,0.09841941962030357,0.11122126987045339,0.011078435820489419,0.03175297451461522,0.018594990231951835,0.016644373887444473
300,0,max_steps,1,0,0,-3.7791099733374223,2500,,,0.8606756897186528,0.1,0.08089867234230042,2.658320665359497,-0.7559061050415039,158.7265625,0.0,21.220890026662378,1255,-25.00000000000111,0.0,0.0,-0.001511643989334969,"{1: 123, 0: 127}","{2: 66, 3: 184}",{1: 250},"{1: 222, 0: 28}",{1: 250},{1: 250},0.009288122203139824,0.00976752406718033,0.014734379607075734,0.01833504003247864,0.025212943882015018,0.030947200832696354,0.04322401393241093,0.04907610747462458,,,,
310,0,max_steps,1,0,0,-11.584991945737283,2500,,,0.8563819809727236,0.1,0.08396082371473312,2.719186782836914,-0.8814098238945007,178.68882751464844,0.0,13.415008054262318,829,-25.00000000000111,0.0,0.0,-0.004633996778294913,{6: 250},"{2: 20, 3: 230}","{1: 231, 0: 19}","{1: 243, 0: 7}",{1: 250},{1: 250},0.015927539864914304,0.00779398622665199,0.025337849357317553,0.027798435776534805,0.04390575575461927,0.02010382792678173,0.05796302026472283,0.07618065838249845,,,,
320,0,max_steps,1,0,0,1.7501908322643385,2500,,,0.8521096925306499,0.1,0.08478028327226639,2.7294251918792725,-0.9033002257347107,178.68882751464844,0.0,26.750190832264163,1308,-25.00000000000111,0.0,0.0,0.0007000763329057354,{2: 250},"{2: 60, 3: 190}",{1: 250},"{1: 247, 0: 3}",{1: 250},{1: 250},0.006758870626503406,0.007049838615208692,0.011595293519836207,0.01369581915823658,0.01945900882870452,0.015143057740882534,0.03375884609983924,0.03728417018359816,0.04720185554287026,0.01428481271864089,0.0486984158836611,0.0565071170739838
330,0,max_steps,1,0,0,3.6735682037880872,2500,,,0.84785871753157,0.1,0.08773799240589142,2.80224609375,-0.9424728751182556,156.524169921875,0.0,28.67356820378785,1586,-25.00000000000111,0.0,0.0,0.0014694272815152349,"{0: 188, 1: 62}","{5: 4, 4: 30, 3: 194, 2: 22}",{1: 250},"{1: 214, 2: 36}",{1: 250},{1: 250},0.008917204719631318,0.010657296133184014,0.011506024933734059,0.013356273590589069,0.02000859330211086,0.04168408976870241,0.029856966756863206,0.03289497600607351,,,,
340,0,max_steps,1,0,0,9.028181108027203,2500,,,0.8436289496477257,0.1,0.09171885997056961,2.893381357192993,-0.9627866148948669,183.44717407226562,0.0,34.02818110802692,1656,-25.00000000000111,0.0,0.0,0.003611272443210881,"{1: 18, 2: 232}","{2: 70, 3: 180}",{1: 250},"{1: 229, 0: 21}",{1: 250},{1: 250},0.007930434510828747,0.007338778953745651,0.011652170137380149,0.014951280698150143,0.023587759220816285,0.02837682347934841,0.03249305698340059,0.034426074946770836,0.016161863483661585,0.010925180573797983,0.03318556824605054,0.03138566729065783
350,0,max_steps,1,0,0,23.6648681877818,2500,,,0.8394202830818028,0.1,0.09583740681409836,3.0080268383026123,-0.8068720102310181,176.83839416503906,0.0,48.664868187782915,1248,-25.00000000000111,0.0,0.0,0.00946594727511272,"{4: 190, 5: 60}","{5: 14, 4: 15, 3: 184, 2: 37}","{1: 235, 0: 15}","{1: 209, 2: 41}",{1: 250},"{1: 248, 0: 1, 2: 1}",0.022623322260559894,0.010075678052311524,0.03341661021676082,0.03801383724964822,0.04358240882639152,0.06897618228832633,0.06625342096000013,0.07865125632693253,,,,
360,0,max_steps,1,0,0,0.8603439818296144,2500,,,0.8352326125642855,0.1,0.0968146026134491,3.017516613006592,-0.8115242719650269,159.14129638671875,0.0,25.860343981829466,1460,-25.00000000000111,0.0,0.0,0.00034413759273184576,"{1: 233, 0: 17}","{4: 9, 3: 208, 2: 33}",{1: 250},"{1: 233, 2: 17}",{1: 250},{1: 250},0.00954380973827369,0.009656979127911632,0.014835161198124149,0.018952569161495153,0.02041666184658185,0.02649261553268725,0.03114389407308377,0.0399397354813047,,,,
