ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,0,0,12.529324703808534,2500,,,0.9950112350131176,0.1,-5.824794061481953e-05,0.01057604793459177,-0.08213222026824951,0.21295449137687683,0.0,17.529324703808445,1789,-4.999999999999671,0.0,0.0,0.0,0.005011729881523414
20,0,max_steps,1,0,0,-4.6192678075319495,2500,,,0.9900473578023296,0.1,9.652098015067168e-06,0.01159185916185379,-0.13565823435783386,0.3606412410736084,0.0,0.38073219246800205,1030,-4.999999999999671,0.0,0.0,0.0,-0.0018477071230127797
30,0,max_steps,1,0,0,0.697612007534988,2500,,,0.98510824420837,0.1,0.0010888292454183102,0.23033565282821655,-0.15227462351322174,50.189388275146484,0.0,5.697612007534949,1376,-4.999999999999671,0.0,0.0,0.0,0.0002790448030139952
40,0,max_steps,1,0,0,10.472176781777272,2500,,,0.9801937706913741,0.1,0.0011731550330296159,0.23037342727184296,-0.1878143548965454,50.189388275146484,0.0,15.472176781777177,1186,-4.999999999999671,0.0,0.0,0.0,0.0041888707127109084
50,0,max_steps,1,1,0,501.59009915740893,2500,1690.0,1690.0,0.9753038143277888,0.1,0.0023059076629579067,0.27929943799972534,-0.23670059442520142,57.72300720214844,500.0,6.588099157409323,1195,-4.997999999999672,0.0,0.0,0.0,0.20063603966296356
60,0,max_steps,1,0,0,9.16087561460007,2500,,,0.9704382528072976,0.1,0.0022677930537611246,0.1766672283411026,-0.26151716709136963,15.869217872619629,0.0,14.160875614600013,1273,-4.999999999999671,0.0,0.0,0.0,0.003664350245840028
70,0,max_steps,1,0,0,6.289237326662378,2500,,,0.9655969644297613,0.1,0.0043581631034612656,0.3442765772342682,-0.34381526708602905,31.048908233642578,0.0,11.289237326662313,1424,-4.999999999999671,0.0,0.0,0.0,0.002515694930664951
80,0,max_steps,1,0,0,9.465475853957848,2500,,,0.9607798281021742,0.1,0.004299716558307409,0.33248117566108704,-0.34381526708602905,29.95780372619629,0.0,14.465475853957805,1149,-4.999999999999671,0.0,0.0,0.0,0.0037861903415831394
90,0,max_steps,1,0,0,-3.2823591409434076,2500,,,0.9559867233356352,0.1,0.00420498289167881,0.30710166692733765,-0.38394859433174133,27.569072723388672,0.0,1.7176408590564627,1031,-4.999999999999671,0.0,0.0,0.0,-0.001312943656377363
100,0,max_steps,1,0,0,1.007283872083056,2500,,,0.951217530242334,0.1,0.004240782931447029,0.29497870802879333,-0.42620888352394104,26.612457275390625,0.0,6.0072838720829775,1215,-4.999999999999671,0.0,0.0,0.0,0.0004029135488332224
110,0,max_steps,1,0,0,2.303536757408499,2500,,,0.9464721295325524,0.1,0.005320882890373468,0.4245837926864624,-0.42620888352394104,72.7005615234375,0.0,7.30353675740846,1429,-4.999999999999671,0.0,0.0,0.0,0.0009214147029633996
120,0,max_steps,1,1,0,510.7645277867993,2500,1856.0,1856.0,0.9417504025116805,0.1,0.006391122937202454,0.5009167194366455,-0.4214293360710144,79.67926025390625,500.0,15.762527786799645,1209,-4.997999999999672,0.0,0.0,0.0,0.2043058111147197
130,0,max_steps,1,0,0,13.738968494314559,2500,,,0.937052231077248,0.1,0.007479545660316944,0.5744128227233887,-0.4366256296634674,86.32161712646484,0.0,18.73896849431449,1779,-4.999999999999671,0.0,0.0,0.0,0.005495587397725823
140,0,max_steps,1,0,0,-4.30478700635205,2500,,,0.9323774977159699,0.1,0.007408300880342722,0.513370931148529,-0.47619548439979553,45.90168762207031,0.0,0.6952129936478242,937,-4.999999999999671,0.0,0.0,0.0,-0.0017219148025408198
150,0,max_steps,1,0,0,-0.9877030353133587,2500,,,0.9277260855008077,0.1,0.008488436229526997,0.6266981363296509,-0.4398692548274994,90.07823181152344,0.0,4.012296964686542,1109,-4.999999999999671,0.0,0.0,0.0,-0.00039508121412534347
160,0,max_steps,1,0,0,-0.17558256523322466,2500,,,0.923097878088044,0.1,0.009540407918393612,0.699998140335083,-0.43792614340782166,95.7237548828125,0.0,4.824417434766756,1245,-4.999999999999671,0.0,0.0,0.0,-7.023302609328986e-05
170,0,max_steps,1,0,0,11.42587010435542,2500,,,0.9184927597143733,0.1,0.01065837498754263,0.7486342787742615,-0.43792614340782166,70.2838363647461,0.0,16.425870104355333,1778,-4.999999999999671,0.0,0.0,0.0,0.004570348041742168
180,0,max_steps,1,0,0,0.8829871273766854,2500,,,0.9139106151940054,0.1,0.01267648208886385,0.8753701448440552,-0.4641105532646179,79.17792510986328,0.0,5.882987127376642,1225,-4.999999999999671,0.0,0.0,0.0,0.00035319485095067416
190,0,max_steps,1,0,0,-1.0056242773023247,2500,,,0.9093513299157857,0.1,0.012602550908923149,0.8420047163963318,-0.4641105532646179,75.19660949707031,0.0,3.9943757226976393,926,-4.999999999999671,0.0,0.0,0.0,-0.0004022497109209299
200,0,max_steps,1,0,0,4.7746774524273405,2500,,,0.9048147898403269,0.1,0.013565382920205593,0.905803918838501,-0.4641105532646179,81.2161636352539,0.0,9.774677452427326,1325,-4.999999999999671,0.0,0.0,0.0,0.0019098709809709361
210,0,max_steps,1,0,0,16.901057448802664,2500,,,0.9003008814971583,0.1,0.013319624587893486,0.8538708090782166,-0.4641105532646179,76.1093978881836,0.0,21.901057448802682,1443,-4.999999999999671,0.0,0.0,0.0,0.006760422979521065
220,0,max_steps,1,0,0,-4.723825549343985,2500,,,0.895809491981886,0.1,0.013176655396819115,0.820573627948761,-0.5543818473815918,72.61726379394531,0.0,0.27617445065593205,839,-4.999999999999671,0.0,0.0,0.0,-0.001889530219737594
230,0,max_steps,1,0,0,0.7916334652786468,2500,,,0.8913405089533699,0.1,0.013208228163421154,0.8194878101348877,-0.5543818473815918,72.61726379394531,0.0,5.791633465278619,1157,-4.999999999999671,0.0,0.0,0.0,0.0003166533861114587
