ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,10.312780923078238,2500,,,0.9950112350131176,0.1,0.0011405405821278691,0.16164863109588623,-0.13297490775585175,33.99979782104492,0.0,35.31278092307811,1517,-25.00000000000111,0.0,0.0,0.004125112369231295,"{0: 134, 1: 116}","{2: 88, 3: 162}",{1: 250},"{1: 242, 0: 7, 2: 1}",{1: 250},{1: 250},0.011267215910259093,0.009952960852711336,0.01792011190260487,0.018441602190833763,0.024297858130808026,0.02128794995891833,0.037780569031408924,0.04976198130800253,,,,
20,0,max_steps,1,0,0,1.1409617841492066,2500,,,0.9900473578023296,0.1,0.0033399295061826706,0.36256706714630127,-0.273360013961792,50.12337875366211,0.0,26.140961784149187,1327,-25.00000000000111,0.0,0.0,0.0004563847136596826,{6: 250},"{4: 24, 3: 170, 2: 56}",{1: 250},"{1: 214, 2: 36}","{1: 249, 0: 1}","{1: 249, 0: 1}",0.014787720165018035,0.008166321290846313,0.02106839636455382,0.02890058179663634,0.03200368596691341,0.03978705582947698,0.0441716297249265,0.05718381074106756,,,,
30,0,max_steps,1,0,0,-4.216811892478529,2500,,,0.98510824420837,0.1,0.0065854936838150024,0.46347081661224365,-0.4796266257762909,55.40103530883789,0.0,20.78318810752141,1566,-25.00000000000111,0.0,0.0,-0.0016867247569914117,"{5: 156, 6: 94}","{1: 3, 2: 77, 3: 170}",{1: 250},"{1: 218, 0: 30, 2: 2}",{1: 250},{1: 250},0.008096890894340689,0.009441515856333887,0.00992660162134089,0.013679293436281378,0.02388757024288313,0.035291102635012214,0.03419264841622531,0.039508060248092516,,,,
40,0,max_steps,1,0,0,-4.196394010550558,2500,,,0.9801937706913741,0.1,0.009769808501005173,0.5379782915115356,-0.46887993812561035,66.98027038574219,0.0,20.80360598944913,889,-25.00000000000111,0.0,0.0,-0.0016785576042202233,"{5: 86, 6: 164}","{2: 77, 3: 173}",{1: 250},"{1: 248, 2: 2}",{1: 250},{1: 250},0.01317612095016751,0.008853542336788887,0.01607046934140559,0.017634651472416957,0.030122101020103275,0.018380572410964885,0.04036493848065054,0.04082647432091554,,,,
50,0,max_steps,1,1,0,526.0378643717088,2500,294.0,294.0,0.9753038143277888,0.1,0.012956294231116772,0.6806461811065674,-0.5181291103363037,76.39513397216797,500.0,51.02786437170211,1603,-24.990000000001107,0.0,0.0,0.21041514574868353,"{3: 29, 2: 221}","{2: 74, 6: 11, 5: 16, 4: 27, 3: 122}",{1: 250},"{1: 182, 0: 4, 2: 64}",{1: 250},{1: 250},0.00972690271494665,0.017494706053011837,0.010904964405282751,0.012938101480690915,0.01822809896253357,0.05860656870864764,0.023968988769375935,0.02937054564104525,0.019473588701724675,0.032016279814935995,0.02702604800088439,0.028034309372047796
60,0,max_steps,1,0,0,-3.1459877403602516,2500,,,0.9704382528072976,0.1,0.01615365408360958,0.8270639777183533,-0.619553804397583,85.77125549316406,0.0,21.854012259639397,970,-25.00000000000111,0.0,0.0,-0.0012583950961441008,"{4: 148, 5: 102}","{1: 15, 2: 98, 3: 137}",{1: 250},"{1: 208, 0: 42}",{1: 250},{1: 250},0.011646336388241984,0.011726566994612353,0.015166732035702374,0.02130335687315748,0.02485621407526819,0.038662894159579145,0.03646134517761115,0.04504511079345191,,,,
70,0,max_steps,1,1,0,504.0175526211539,2500,246.0,246.0,0.9655969644297613,0.1,0.01915552280843258,0.8758999705314636,-0.7233784198760986,92.25228881835938,500.0,29.007552621141834,1187,-24.990000000001107,0.0,0.0,0.20160702104846157,"{3: 24, 4: 133, 5: 93}","{4: 22, 3: 171, 2: 57}","{1: 237, 0: 13}","{1: 216, 2: 32, 0: 2}","{1: 243, 0: 7}","{1: 244, 2: 6}",0.010967948962115594,0.009526740373506974,0.017634152132225106,0.02168645522956148,0.024908355125894868,0.045105747401852365,0.03948570819431448,0.05769481460280369,0.013080295849260418,0.0843130502185472,0.0171310778341479,0.01280275579201586
80,0,max_steps,1,0,0,-4.359867360449759,2500,,,0.9607798281021742,0.1,0.022319911047816277,0.9678586721420288,-0.8132158517837524,97.5697021484375,0.0,20.64013263955008,1487,-25.00000000000111,0.0,0.0,-0.0017439469441799037,"{6: 247, 5: 3}","{1: 18, 2: 87, 3: 145}",{1: 250},"{1: 204, 0: 46}",{1: 250},{1: 250},0.011193886679001484,0.008757966155470562,0.012848741719633686,0.01603476871862934,0.029719755070911867,0.03647590840436124,0.0381217597855053,0.041638620029383615,,,,
90,0,max_steps,1,0,0,-14.265944387557447,2500,,,0.9559867233356352,0.1,0.025458164513111115,1.0093384981155396,-0.7377731204032898,88.56217956542969,0.0,10.734055612442283,880,-25.00000000000111,0.0,0.0,-0.0057063777550229785,"{5: 34, 6: 216}","{1: 12, 2: 72, 3: 166}",{1: 250},"{1: 214, 0: 36}",{1: 250},{1: 250},0.008024547009979385,0.009205525387839059,0.009761837464499226,0.012961325313092804,0.020937918195062688,0.04881543753734286,0.028436581391188855,0.033879560904818556,,,,
100,0,max_steps,1,1,0,522.2139370943258,2500,2292.0,2292.0,0.951217530242334,0.1,0.02858046069741249,1.1530402898788452,-0.8541851043701172,101.40017700195312,500.0,47.20393709432475,1880,-24.990000000001107,0.0,0.0,0.20888557483773035,"{2: 202, 3: 48}","{4: 19, 3: 151, 2: 59, 0: 21}",{1: 250},"{1: 204, 2: 33, 0: 13}",{1: 250},{1: 250},0.008523531449731881,0.010844445731864308,0.01219769039441325,0.013506267718251166,0.027991317420645378,0.044001585006008606,0.03426617957436326,0.0393572216523449,0.027636459029611638,0.016631042865614766,0.0303541445881324,0.029326303332380666
