ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,3.966047631,2500,,,0.995011235,0.1,-7.12E-05,0.010022029,-0.055485882,0.040126264,0,8.966047631,1473,-5,0,0,0.001586419,"{4: 125, 5: 125}","{5: 21, 4: 63, 3: 166}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.02,0.03,0.05,0.02,0.06,0.07,,,,
20,0,max_steps,1,0,0,-4.750667558,2500,,,0.990047358,0.1,-6.60E-05,0.01015152,-0.079205878,0.054428745,0,0.249332442,155,-5,0,0,-0.001900267,"{2: 41, 3: 209}","{2: 19, 1: 74, 0: 157}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.04,,,,
30,0,max_steps,1,0,0,-1.257678094,2500,,,0.985108244,0.1,-0.000101218,0.010516594,-0.183873489,0.077076428,0,3.742321906,1082,-5,0,0,-0.000503071,"{0: 113, 1: 137}","{2: 13, 1: 84, 0: 153}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,,,,
40,0,max_steps,1,0,0,1.045022514,2500,,,0.980193771,0.1,-9.94E-05,0.010955899,-0.228716403,0.144653544,0,6.045022514,1397,-5,0,0,0.000418009,{1: 250},"{4: 7, 3: 192, 2: 51}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,,,,
50,0,max_steps,1,0,0,-4.807396376,2500,,,0.975303814,0.1,-0.000136875,0.011747831,-0.282511681,0.205517009,0,0.192603624,92,-5,0,0,-0.001922959,{3: 250},"{2: 54, 1: 58, 0: 138}",{1: 250},{1: 250},{1: 250},{1: 250},0.00,0.02,0.00,0.01,0.02,0.02,0.04,0.04,,,,
60,0,max_steps,1,0,0,0.071527285,2500,,,0.970438253,0.1,-0.000140234,0.012252145,-0.282606125,0.25984475,0,5.071527285,1088,-5,0,0,2.86E-05,"{5: 223, 6: 27}","{5: 39, 4: 91, 3: 120}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,,,,
70,0,max_steps,1,0,0,3.464201472,2500,,,0.965596964,0.1,0.000929851,0.229571611,-0.282606125,50.02500534,0,8.464201472,1567,-5,0,0,0.001385681,"{1: 218, 2: 32}","{4: 42, 3: 160, 2: 48}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,,,,
80,0,max_steps,1,0,0,-3.372096004,2500,,,0.960779828,0.1,0.001947667,0.294343859,-0.345361888,55.99224091,0,1.627903996,388,-5,0,0,-0.001348838,{1: 250},"{2: 3, 1: 109, 0: 138}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,,,,
90,0,max_steps,1,0,0,2.362238263,2500,,,0.955986723,0.1,0.003016635,0.333634019,-0.345361888,62.34568024,0,7.362238263,1374,-5,0,0,0.000944895,"{1: 26, 2: 224}","{3: 151, 2: 72, 1: 27}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,,,,
100,0,max_steps,1,0,0,-2.605550472,2500,,,0.95121753,0.1,0.0029986,0.267212868,-0.345361888,24.16619301,0,2.394449528,757,-5,0,0,-0.00104222,"{1: 141, 2: 109}","{1: 35, 0: 215}",{1: 250},{1: 250},{1: 250},{1: 250},0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.04,,,,
