ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,5.107167030942199,2500,,,0.9950112350131176,0.1,0.005346331279724836,0.47257018089294434,-0.15254387259483337,64.70686340332031,0.0,30.107167030941948,1474,-25.00000000000111,0.0,0.0,0.0020428668123768793,{1: 250},"{1: 37, 2: 117, 3: 96}",{1: 250},"{1: 210, 0: 39, 2: 1}",{1: 250},{1: 250},0.00804627292560292,0.010258581872744262,0.012783801781481613,0.017254636354675622,0.02148954478854873,0.0352141014384544,0.028147250880712023,0.036288712674931924,,,,
20,0,max_steps,1,0,0,-0.16061326946470567,2500,,,0.9900473578023296,0.1,0.007386685349047184,0.5362316966056824,-0.2972989082336426,79.00602722167969,0.0,24.839386730535093,1193,-25.00000000000111,0.0,0.0,-6.424530778588226e-05,"{2: 174, 1: 76}","{5: 11, 4: 20, 3: 122, 2: 97}",{1: 250},"{1: 201, 2: 49}",{1: 250},{1: 250},0.0075645599845912005,0.00949998648191959,0.011335885243816261,0.01416785267191944,0.021885049804920842,0.05707190671962595,0.02949322019709095,0.03704848811167576,,,,
30,0,max_steps,1,0,0,-14.2244033345154,2500,,,0.98510824420837,0.1,0.008396429009735584,0.5849893689155579,-0.38975459337234497,79.00602722167969,0.0,10.77559666548429,920,-25.00000000000111,0.0,0.0,-0.0056897613338061604,{4: 250},"{4: 9, 3: 114, 2: 127}",{1: 250},"{1: 222, 2: 28}",{1: 250},{1: 250},0.009056668310450575,0.008250752960301894,0.010924660613093502,0.013891789523304086,0.017789849046569474,0.03294636410257075,0.02418156919706712,0.03010896714940277,,,,
40,0,max_steps,1,0,0,-0.2977498520130437,2500,,,0.9801937706913741,0.1,0.010518989525735378,0.6448891758918762,-0.5293240547180176,87.89753723144531,0.0,24.702250147986682,874,-25.00000000000111,0.0,0.0,-0.00011909994080521748,"{4: 54, 5: 196}","{5: 17, 4: 18, 3: 139, 2: 76}",{1: 250},"{1: 203, 2: 47}",{1: 250},{1: 250},0.0067657691583128355,0.01139147309993125,0.008925978505718947,0.014041715678514735,0.01984264915810533,0.06297608141046647,0.02767405971018632,0.03444677292518036,,,,
50,0,max_steps,1,0,0,-9.182701282961904,2500,,,0.9753038143277888,0.1,0.012656236998736858,0.7735756635665894,-0.6974713206291199,95.83042907714844,0.0,15.817298717037849,1132,-25.00000000000111,0.0,0.0,-0.0036730805131847616,{2: 250},"{4: 20, 3: 107, 2: 123}",{1: 250},"{1: 222, 2: 28}",{1: 250},{1: 250},0.005895443394911238,0.009743364069470328,0.008519680868487187,0.01010052394551807,0.020414399696897793,0.0369160096334839,0.025443517811242895,0.028993270341609638,0.007408708549392193,0.021635312163066106,0.013239409342451184,0.019537040356044588
60,0,max_steps,1,0,0,3.9991755118768886,2500,,,0.9704382528072976,0.1,0.014789525419473648,0.8169227242469788,-0.7072879672050476,64.38993835449219,0.0,28.99917551187663,1563,-25.00000000000111,0.0,0.0,0.0015996702047507555,"{1: 154, 2: 96}","{2: 131, 3: 119}",{1: 250},"{1: 222, 0: 28}",{1: 250},{1: 250},0.006821090545446681,0.007269985088049736,0.01054565429489433,0.010278421835538594,0.016536373238656164,0.037215502487911535,0.022459790030720097,0.036184946139877355,,,,
70,0,max_steps,1,0,0,-2.0662078929180896,2500,,,0.9655969644297613,0.1,0.018070433288812637,0.9953165054321289,-0.7508735060691833,111.7992935180664,0.0,22.933792107081672,1225,-25.00000000000111,0.0,0.0,-0.0008264831571672359,{4: 250},"{4: 22, 3: 115, 2: 113}",{1: 250},"{1: 207, 2: 42, 0: 1}",{1: 250},{1: 250},0.00798890622725684,0.008648491324015569,0.012332411361629412,0.015424341581843217,0.020911923996173632,0.04766377725585912,0.027738063599977617,0.032837362896082106,,,,
80,0,max_steps,1,0,0,-7.1187988363645305,2500,,,0.9607798281021742,0.1,0.021978028118610382,1.1476635932922363,-0.7508735060691833,114.00059509277344,0.0,17.88120116363522,1015,-25.00000000000111,0.0,0.0,-0.0028475195345458123,"{4: 108, 5: 142}","{1: 19, 2: 130, 3: 101}",{1: 250},"{1: 213, 0: 37}",{1: 250},{1: 250},0.008443733082302991,0.012774028600471436,0.013130053916788741,0.01800385808127778,0.020038009753545926,0.042337716152648835,0.030754648228627928,0.03661050428882029,,,,
90,0,max_steps,1,0,0,1.181292481706534,2500,,,0.9559867233356352,0.1,0.024978220462799072,1.1690571308135986,-0.7590147256851196,120.01699829101562,0.0,26.181292481706244,1311,-25.00000000000111,0.0,0.0,0.0004725169926826136,"{1: 234, 0: 16}","{2: 115, 3: 135}",{1: 250},"{1: 249, 2: 1}",{1: 250},{1: 250},0.008117390497353287,0.006763586492244877,0.01314964633119074,0.016283485419903935,0.02537255843728735,0.016821531470804722,0.03838433712148875,0.04985224885716265,,,,
100,0,max_steps,1,0,0,-16.910919839886656,2500,,,0.951217530242334,0.1,0.026014741510152817,1.2228211164474487,-0.8785156011581421,124.58531188964844,0.0,8.08908016011334,911,-25.00000000000111,0.0,0.0,-0.006764367935954662,"{5: 21, 6: 229}","{4: 11, 3: 116, 2: 123}",{1: 250},"{1: 231, 2: 19}",{1: 250},{1: 250},0.007935531042929916,0.008623928110694627,0.011433350622915162,0.011922612054156647,0.017723211253287487,0.02628395918688296,0.026188479805975697,0.035358310681053044,,,,
