ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,21.23009005289807,2500,,,0.9950112350131176,0.1,0.01130542904138565,0.7039185166358948,-0.04033449664711952,86.57042694091797,0.0,46.23009005289904,1767,-25.00000000000111,0.0,0.0,0.008492036021159229,"{5: 41, 4: 209}","{1: 14, 2: 92, 3: 144}",{1: 250},"{1: 187, 0: 55, 2: 8}",{1: 250},{1: 250},0.009268660137081362,0.012035096677020612,0.014492498610508294,0.01467600782838795,0.023340756752314402,0.039221491860337125,0.03364212344887115,0.03683765731922339,0.008797178003001112,0.0224847057861423,0.018249683047420414,0.03277661082157918
20,0,max_steps,1,1,0,517.5919264200442,2500,1877.0,1877.0,0.9900473578023296,0.1,0.028149796649813652,1.3037947416305542,-0.04033449664711952,108.97311401367188,500.0,42.581926420041555,1993,-24.990000000001107,0.0,0.0,0.20703677056801767,"{5: 9, 4: 157, 3: 21, 0: 63}","{4: 10, 3: 144, 2: 96}",{1: 250},"{1: 216, 2: 18, 0: 16}",{1: 250},{1: 250},0.013487477493152673,0.011436538260329261,0.012528241171434919,0.01321296725875837,0.0315901996585091,0.0347345776798355,0.038929636559041234,0.03761517704190724,0.016456947650066563,0.01558314272661828,0.02200970373047267,0.039897306970260754
30,0,success,1,2,0,1047.058089931427,1399,699.5,699.5,0.98510824420837,0.1,0.04482477903366089,1.9050769805908203,-0.04033449664711952,142.44979858398438,1000.0,61.028089931425995,1393,-13.969999999999747,0.0,0.0,0.7484332308301838,"{2: 119, 3: 20}","{2: 60, 3: 57, 4: 22}","{1: 132, 0: 7}","{1: 95, 0: 1, 2: 43}",{1: 139},{1: 139},0.026544862207371088,0.01798097334708459,0.02620925939824642,0.02237261603030018,0.04436074040054036,0.06381097202995925,0.05325466993764332,0.04260314877087445,0.03500986369925254,0.03994267771289113,0.0498573178562224,0.043798891561384806
40,0,max_steps,1,1,0,506.43721717534277,2500,525.0,525.0,0.9801937706913741,0.1,0.05674944818019867,2.294052839279175,-0.04033449664711952,172.4354705810547,500.0,31.42721717533424,1493,-24.990000000001107,0.0,0.0,0.2025748868701371,"{2: 43, 3: 9, 6: 172, 5: 26}","{3: 160, 2: 90}",{1: 250},"{1: 234, 0: 16}",{1: 250},{1: 250},0.009485587795656242,0.009029087231007043,0.01589746831946165,0.016862390250773584,0.030882882382367707,0.020664873889910253,0.04278344865410484,0.03773057102234914,0.02960511021330642,0.012897042243364394,0.034398761299236684,0.020914777112540202
50,1,max_steps,1,1,0,514.2345668240677,2500,1987.0,1987.0,0.5997,0.1,0.07332507520914078,2.551511287689209,-0.04033449664711952,180.5724334716797,500.0,39.22456682406555,1870,-24.990000000001107,0.0,0.0,0.20569382672962705,"{2: 151, 3: 47, 6: 52}","{4: 35, 3: 138, 2: 77}",{1: 250},"{1: 190, 2: 60}",{1: 250},{1: 250},0.010571232953181773,0.010298594039423233,0.010456367955567992,0.01149916817971899,0.02870163206833373,0.04567869778200641,0.035380344515175396,0.03258453764438261,0.01552150721106458,0.015412523551923091,0.018227322411732968,0.025550053617104176
60,1,max_steps,3,1,0,573.6786460695114,3000,531.0,531.0,0.5967082376373667,0.1,0.08522724360227585,2.592438220977783,-8.167366027832031,180.5724334716797,500.0,103.66864606950405,1965,-29.99000000000189,0.0,0.0,0.1912262153565038,"{3: 53, 6: 64, 5: 172, 4: 11}","{2: 153, 1: 6, 3: 141}","{1: 238, 2: 41, 0: 21}","{1: 255, 0: 42, 2: 3}","{1: 290, 0: 7, 2: 3}","{1: 292, 0: 8}",0.02785093371339334,0.016683523208367704,0.03620405947730898,0.041412246308546355,0.06917031638590665,0.031949628420880775,0.0855522419913846,0.0795200058803836,0.02861372203437254,0.030422827295583346,0.047733504325357,0.04486661694081754
70,1,crash,3,1,1,475.55244211034005,1292,1145.0,1145.0,0.5937314004740571,0.1,0.10438214987516403,2.8287954330444336,-8.365360260009766,164.30563354492188,500.0,81.79235683789454,1133,-12.90999999999977,-13.32991472755512,-80.0,0.3680746455962384,"{6: 48, 5: 29, 4: 36, 3: 1, 1: 8, 0: 7}","{3: 63, 2: 66}","{1: 58, 2: 71}","{1: 104, 2: 12, 0: 13}","{1: 107, 2: 22}","{1: 117, 0: 12}",0.05387503392556468,0.017792191309559696,0.05651494840691645,0.03309587755463536,0.1240486559787698,0.036633001745498155,0.1403644570207277,0.09234556225439436,0.1345543715766503,0.010702674339207215,0.18737138502332526,0.05323248574838454
80,1,max_steps,3,2,0,1110.0870787867007,3000,1465.0,1465.0,0.5907694140517594,0.1,0.11849992722272873,3.0341484546661377,-8.316969871520996,169.0689697265625,1000.0,140.06707878669624,2198,-29.980000000001887,0.0,0.0,0.37002902626223355,"{2: 50, 3: 76, 4: 116, 5: 50, 6: 8}","{0: 18, 1: 12, 2: 89, 3: 147, 6: 13, 5: 8, 4: 13}","{1: 200, 0: 69, 2: 31}","{1: 210, 0: 45, 2: 45}","{1: 276, 0: 24}","{1: 271, 2: 15, 0: 14}",0.03464572180631919,0.019034040601999216,0.0432600726887062,0.0327079358804619,0.0815593617116508,0.10327962709759318,0.09007287434009438,0.09830310698721473,0.07871057479208708,0.03036103658286262,0.08783869529146923,0.07501359492681908
90,1,crash,3,1,1,530.0811202408884,2407,1509.0,1509.0,0.587822204283617,0.1,0.13739141821861267,3.200929880142212,-8.609700202941895,170.32003784179688,500.0,167.914955147389,1841,-24.06000000000096,-33.77383490650123,-80.0,0.22022481106808822,"{3: 138, 2: 37, 0: 36, 1: 12, 4: 17}","{0: 16, 1: 16, 2: 113, 3: 19, 6: 45, 5: 9, 4: 22}","{1: 170, 2: 4, 0: 66}","{1: 125, 0: 41, 2: 74}","{1: 208, 0: 32}","{1: 224, 0: 5, 2: 11}",0.031711803484032394,0.02864488215910476,0.02874896110423598,0.03090425267751455,0.13046531887370713,0.10278067812591615,0.12930606449617363,0.09181812786118011,0.10058837844002284,0.0560346941515436,0.0723172443946653,0.09346093937509217
100,1,max_steps,3,1,0,522.2303869552361,3000,229.0,229.0,0.584889697452375,0.1,0.1514122188091278,3.3424408435821533,-8.609700202941895,186.9307403564453,500.0,84.0813737626836,1571,-29.99000000000189,-31.860986807459973,0.0,0.17407679565174536,"{3: 22, 0: 245, 1: 33}","{6: 2, 5: 12, 4: 11, 3: 165, 2: 110}","{1: 275, 2: 17, 0: 8}","{1: 238, 2: 49, 0: 13}","{1: 290, 2: 2, 0: 8}","{1: 291, 0: 6, 2: 3}",0.02212834371905572,0.012254420488805057,0.02482787714923155,0.028242671852424805,0.04566398875662056,0.07033168967328153,0.07007649559817826,0.07570016642093251,0.033705885109079625,0.15661993159515208,0.06991387006453938,0.09508781857536308
