ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,1,0,503.3459728037756,2500,1801.0,1801.0,0.9950112350131176,0.1,0.002110677072778344,0.277907133102417,-0.04531193897128105,57.563720703125,500.0,8.34397280378041,1876,-4.997999999999672,0.0,0.0,0.0,0.20133838912151025
20,0,max_steps,1,0,0,-2.1717728389887783,2500,,,0.9900473578023296,0.1,0.0029997657984495163,0.3341650366783142,-0.07002180814743042,64.02288055419922,0.0,2.828227161011203,1253,-4.999999999999671,0.0,0.0,0.0,-0.0008687091355955113
30,0,max_steps,1,0,0,-2.5430782550068454,2500,,,0.98510824420837,0.1,0.002908276626840234,0.2504976987838745,-0.16371005773544312,22.637731552124023,0.0,2.456921744993115,1655,-4.999999999999671,0.0,0.0,0.0,-0.001017231302002738
40,0,max_steps,1,0,0,-2.2931778512025653,2500,,,0.9801937706913741,0.1,0.0038197007961571217,0.38147369027137756,-0.22926679253578186,68.77180480957031,0.0,2.7068221487974173,1205,-4.999999999999671,0.0,0.0,0.0,-0.0009172711404810261
50,0,max_steps,1,0,0,0.7473196124663862,2500,,,0.9753038143277888,0.1,0.0037655839696526527,0.32028746604919434,-0.22926679253578186,29.684125900268555,0.0,5.747319612466397,1692,-4.999999999999671,0.0,0.0,0.0,0.0002989278449865545
60,0,max_steps,1,0,0,-2.9097016169602092,2500,,,0.9704382528072976,0.1,0.0034637018106877804,0.2680729925632477,-0.228692889213562,24.03493309020996,0.0,2.090298383039696,1166,-4.999999999999671,0.0,0.0,0.0,-0.0011638806467840837
70,0,max_steps,1,0,0,-2.109289903901003,2500,,,0.9655969644297613,0.1,0.00419169757515192,0.3268411159515381,-0.23285332322120667,29.364456176757812,0.0,2.8907100960990006,1134,-4.999999999999671,0.0,0.0,0.0,-0.0008437159615604012
80,0,max_steps,1,0,0,-1.640474324939428,2500,,,0.9607798281021742,0.1,0.005175323225557804,0.4525444209575653,-0.2654653489589691,75.41580200195312,0.0,3.359525675060497,1068,-4.999999999999671,0.0,0.0,0.0,-0.0006561897299757712
90,0,max_steps,1,0,0,-3.7409241421740007,2500,,,0.9559867233356352,0.1,0.005012099631130695,0.3971749246120453,-0.2543855607509613,35.74224853515625,0.0,1.2590758578258587,854,-4.999999999999671,0.0,0.0,0.0,-0.0014963696568696004
100,0,max_steps,1,0,0,-2.9623043038634513,2500,,,0.951217530242334,0.1,0.005783255212008953,0.46250054240226746,-0.2507524788379669,42.976802825927734,0.0,2.0376956961363497,678,-4.999999999999671,0.0,0.0,0.0,-0.0011849217215453805
110,0,max_steps,1,0,0,-2.217054564053245,2500,,,0.9464721295325524,0.1,0.005491998977959156,0.40909796953201294,-0.26885366439819336,36.667579650878906,0.0,2.782945435946736,1046,-4.999999999999671,0.0,0.0,0.0,-0.000886821825621298
120,0,max_steps,1,1,0,501.81844046868406,2500,803.0,803.0,0.9417504025116805,0.1,0.006420992314815521,0.5129228234291077,-0.2771775424480438,80.66107940673828,500.0,6.816440468692572,1480,-4.997999999999672,0.0,0.0,0.0,0.20072737618747363
130,0,max_steps,1,0,0,-3.4945218967697893,2500,,,0.937052231077248,0.1,0.006199151277542114,0.43903809785842896,-0.2771775424480438,39.18824005126953,0.0,1.5054781032300601,734,-4.999999999999671,0.0,0.0,0.0,-0.0013978087587079157
140,0,max_steps,1,0,0,-3.1590979100197014,2500,,,0.9323774977159699,0.1,0.007997199892997742,0.6091337203979492,-0.3000308573246002,89.09364318847656,0.0,1.8409020899802013,1146,-4.999999999999671,0.0,0.0,0.0,-0.0012636391640078806
150,0,max_steps,1,0,0,-2.7714432909118263,2500,,,0.9277260855008077,0.1,0.007936150766909122,0.6083306074142456,-0.2993631958961487,89.09364318847656,0.0,2.2285567090880485,1030,-4.999999999999671,0.0,0.0,0.0,-0.0011085773163647305
160,0,max_steps,1,0,0,0.3020338907760449,2500,,,0.923097878088044,0.1,0.007599721662700176,0.5353187918663025,-0.2993631958961487,47.86370849609375,0.0,5.302033890776013,1075,-4.999999999999671,0.0,0.0,0.0,0.00012081355631041796
170,0,max_steps,1,1,0,499.11634837143635,2500,2209.0,2209.0,0.9184927597143733,0.1,0.009984051808714867,0.726393461227417,-0.2993631958961487,98.9178466796875,500.0,4.114348371437972,1277,-4.997999999999672,0.0,0.0,0.0,0.19964653934857454
180,0,max_steps,1,0,0,2.206481119442101,2500,,,0.9139106151940054,0.1,0.011530791409313679,0.8343384265899658,-0.2607743740081787,108.0648193359375,0.0,7.206481119442083,1441,-4.999999999999671,0.0,0.0,0.0,0.0008825924477768403
190,0,max_steps,1,0,0,-2.404325594162522,2500,,,0.9093513299157857,0.1,0.011028890497982502,0.7420020699501038,-0.28277215361595154,66.11328125,0.0,2.5956744058374106,1319,-4.999999999999671,0.0,0.0,0.0,-0.0009617302376650087
