ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10320,2,max_steps,3,4,0,2069.9264190118333,3500,670.5,526.0,0.14280064672886422,0.1,1.9370863437652588,17.987585067749023,-53.465660095214844,471.8127136230469,2000.0,76.9184190118151,2405,-6.991999999999452,0.0,0.0,0.0,0.5914075482890953,"{4: 69, 3: 25, 2: 41, 5: 22, 6: 78, 1: 19, 0: 96}","{3: 106, 5: 2, 4: 20, 0: 38, 1: 40, 2: 62, 6: 82}","{1: 346, 2: 4}","{1: 329, 2: 8, 0: 13}","{1: 314, 2: 30, 0: 6}","{1: 347, 0: 3}",0.04889585623721762,0.02717915216185803,0.05815983758457244,0.04925849973798699,0.14770366155453482,0.07438699162252758,0.18026853000358195,0.13434024341345854,0.14944925802363537,0.07977828324934748,0.1176378312567597,0.1179972326169925
10330,2,max_steps,3,2,0,1055.9594324962372,3500,618.5,618.5,0.14137904918455294,0.1,1.948757529258728,18.071929931640625,-53.465660095214844,452.06439208984375,1000.0,62.960890333591536,2243,-6.9959999999994515,-0.0054578373268056035,0.0,0.0,0.30170269499892494,"{3: 40, 0: 7, 1: 12, 2: 64, 6: 227}","{6: 3, 5: 13, 4: 66, 3: 68, 0: 38, 1: 41, 2: 121}",{1: 350},"{1: 315, 2: 21, 0: 14}","{1: 345, 0: 5}",{1: 350},0.03852858259498855,0.03730943731111815,0.06159921275368037,0.07446020242480747,0.09142929271720582,0.07995200227151603,0.1358179215079288,0.15974208419770713,0.034902701019935645,0.08193756699781733,0.09621524595244535,0.15744163945304795
10340,2,crash,3,0,1,-159.272654366496,1675,,,0.13997160381408882,0.1,1.951636791229248,18.091182708740234,-51.49016189575195,459.2050476074219,0.0,18.964650002249215,778,-3.3499999999998527,-94.88730436874516,-80.0,0.0,-0.09508815186059463,"{1: 96, 2: 71}","{5: 62, 4: 22, 3: 28, 2: 44, 1: 11}",{1: 167},"{1: 158, 2: 9}",{1: 167},"{1: 162, 0: 5}",0.023520371766821313,0.026718482703776626,0.03702834114240431,0.03243830777903216,0.08044787477915087,0.07555760453683594,0.09431287968264572,0.1401041191620378,0.05111548596832169,0.08145995284692238,0.04650596705622603,0.07543081230039234
10350,2,max_steps,3,4,0,2071.250954439209,3500,567.25,534.5,0.13857816973088588,0.1,1.9614912271499634,18.170087814331055,-51.49016189575195,475.59759521484375,2000.0,78.24295443919893,2856,-6.991999999999452,0.0,0.0,0.0,0.5917859869826312,"{4: 149, 3: 77, 0: 124}","{3: 101, 1: 21, 2: 16, 6: 152, 5: 14, 4: 13, 0: 33}",{1: 350},"{1: 292, 2: 17, 0: 41}","{1: 336, 0: 14}",{1: 350},0.023632521039796874,0.02511974638439179,0.03347942750474229,0.035734637313785705,0.11091269686342092,0.08302827091514987,0.12465136012698091,0.12311716178098718,0.11539544134710353,0.13240459469565083,0.14625231035133654,0.0771899887893044
10360,2,max_steps,3,0,0,20.717002143655897,3500,,,0.13719860745090104,0.1,1.968442440032959,18.23042869567871,-51.49016189575195,480.87713623046875,0.0,27.717002143656014,1149,-6.999999999999451,0.0,0.0,0.0,0.00591914346961597,"{6: 323, 5: 27}","{2: 80, 3: 213, 4: 57}",{1: 350},"{1: 335, 0: 15}","{1: 340, 2: 10}","{1: 349, 2: 1}",0.03524681244029658,0.016661716706204477,0.04422035101863884,0.043105190569046374,0.10062725962522777,0.055913689851415795,0.14594765872452908,0.14366097288585086,,,,
10370,2,max_steps,3,1,0,555.8600332412178,3500,2744.0,2744.0,0.13583277887867154,0.1,1.970762848854065,18.221296310424805,-51.49016189575195,461.52685546875,500.0,62.858033241218536,2145,-6.997999999999451,0.0,0.0,0.0,0.15881715235463367,"{2: 109, 1: 40, 0: 82, 3: 18, 4: 91, 6: 3, 5: 7}","{3: 121, 4: 126, 5: 51, 0: 28, 1: 12, 2: 12}","{1: 329, 0: 4, 2: 17}","{1: 332, 2: 2, 0: 16}","{1: 298, 2: 41, 0: 11}","{1: 340, 0: 7, 2: 3}",0.05130128775505373,0.025293607593868107,0.061196535623014886,0.0694549157148861,0.16074272654081506,0.07779728473314235,0.20000951786484383,0.18367564821860943,0.19043869510342884,0.06948329383333687,0.2868091603390068,0.13695326805030428
10380,2,max_steps,3,2,0,1063.1041777682517,3500,1275.0,1275.0,0.13448054729349157,0.1,1.9812439680099487,18.28668212890625,-51.49016189575195,450.317626953125,1000.0,70.1001777682578,2248,-6.9959999999994515,0.0,0.0,0.0,0.30374405079092903,"{1: 27, 2: 11, 3: 3, 6: 142, 5: 36, 4: 35, 0: 96}","{4: 5, 3: 65, 0: 69, 1: 95, 2: 116}",{1: 350},"{1: 330, 0: 19, 2: 1}","{1: 298, 0: 24, 2: 28}","{1: 341, 0: 9}",0.050690296713447366,0.026463224436456812,0.06550780688524886,0.0770893210578853,0.14178353677675146,0.07505884842453807,0.19783700917824712,0.1831955279235274,0.17664026976648944,0.04103599662400098,0.19957947676432816,0.17051007654499203
10390,2,max_steps,3,0,0,6.95604499918581,3500,,,0.13314177733572624,0.1,1.9890210628509521,18.37594985961914,-51.49016189575195,448.91912841796875,0.0,13.95604499918581,1737,-6.999999999999451,0.0,0.0,0.0,0.0019874414283388027,{0: 350},"{3: 176, 4: 15, 2: 40, 1: 119}",{1: 350},{1: 350},{1: 350},{1: 350},0.014675036086824321,0.015443342733148206,0.025253882393990852,0.021174496922801253,0.06171621360105965,0.05213529681849782,0.06864800441466078,0.0602278631101767,,,,
10400,2,crash,3,1,1,364.2619415294189,3119,1355.0,1355.0,0.13181633499326206,0.1,1.9890918731689453,18.372312545776367,-51.49016189575195,448.91912841796875,500.0,35.5888021594978,1649,-6.235999999999535,-85.09086063008625,-80.0,0.0,0.11678805435377329,"{0: 17, 1: 10, 2: 93, 3: 15, 6: 176}","{6: 35, 5: 109, 4: 66, 3: 97, 2: 4}",{1: 311},"{1: 303, 2: 3, 0: 5}","{1: 302, 0: 9}","{1: 310, 2: 1}",0.02920419675967394,0.02108764401683976,0.04290456299465603,0.04735303894093831,0.07661784564448045,0.06785365683509931,0.0946414830813605,0.11951345452051382,0.033570120997592656,0.051491181615039384,0.016850177325572844,0.09177194908226498
10410,2,max_steps,3,0,0,31.935949744085608,3500,,,0.1305040875880922,0.1,1.9946762323379517,18.38971710205078,-51.49016189575195,446.320068359375,0.0,38.93594974408566,1716,-6.999999999999451,0.0,0.0,0.0,0.009124557069738744,"{6: 58, 5: 175, 4: 60, 3: 46, 2: 11}","{5: 9, 4: 12, 3: 291, 2: 38}","{1: 336, 2: 6, 0: 8}","{1: 342, 2: 8}","{1: 318, 2: 14, 0: 18}","{1: 337, 2: 1, 0: 12}",0.03401512032682237,0.017707225434510254,0.04427178001158858,0.05152884500463696,0.12747099644264592,0.05709681755352617,0.16514667666333208,0.16605641621681846,0.16132774524165094,0.029616209109939756,0.22704904678458765,0.18701239060666516
