ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
10,0,max_steps,1,0,0,-2.0229605681321865,2500,,,0.9950112350131176,0.1,8.89391521923244e-05,0.010157009586691856,-0.03781009465456009,0.10418957471847534,0.0,2.977039431867687,864,-4.999999999999671,0.0,0.0,0.0,-0.0008091842272528746
20,0,max_steps,1,0,0,2.130425320705283,2500,,,0.9900473578023296,0.1,0.0011921897530555725,0.2293422520160675,-0.040100764483213425,50.00041961669922,0.0,7.130425320705083,1330,-4.999999999999671,0.0,0.0,0.0,0.0008521701282821132
30,0,max_steps,1,0,0,4.188727986914109,2500,,,0.98510824420837,0.1,0.0012250550789758563,0.22936180233955383,-0.044285085052251816,50.00041961669922,0.0,9.18872798691396,1119,-4.999999999999671,0.0,0.0,0.0,0.0016754911947656436
40,0,max_steps,1,0,0,2.6828709157109274,2500,,,0.9801937706913741,0.1,0.0012456513941287994,0.2293642908334732,-0.05009833350777626,50.00041961669922,0.0,7.6828709157109145,1759,-4.999999999999671,0.0,0.0,0.0,0.001073148366284371
50,0,max_steps,1,0,0,6.719543284622576,2500,,,0.9753038143277888,0.1,0.0023414837196469307,0.2774946689605713,-0.06308671832084656,57.53132247924805,0.0,11.719543284622363,1552,-4.999999999999671,0.0,0.0,0.0,0.0026878173138490304
60,0,max_steps,1,0,0,-0.9409311087153566,2500,,,0.9704382528072976,0.1,0.0034359463024884462,0.34802839159965515,-0.08344854414463043,66.29060363769531,0.0,4.059068891284623,923,-4.999999999999671,0.0,0.0,0.0,-0.00037637244348614265
70,0,max_steps,1,0,0,0.46902033596500203,2500,,,0.9655969644297613,0.1,0.0034255455248057842,0.3480275273323059,-0.09566905349493027,66.29060363769531,0.0,5.469020335965,1226,-4.999999999999671,0.0,0.0,0.0,0.0001876081343860008
80,0,max_steps,1,0,0,0.2844487788578183,2500,,,0.9607798281021742,0.1,0.004540038760751486,0.41457706689834595,-0.09566905349493027,70.40974426269531,0.0,5.2844487788577466,1046,-4.999999999999671,0.0,0.0,0.0,0.00011377951154312731
90,0,max_steps,1,0,0,5.821962835735336,2500,,,0.9559867233356352,0.1,0.006688253954052925,0.5719343423843384,-0.12280615419149399,86.14710998535156,0.0,10.821962835735087,1051,-4.999999999999671,0.0,0.0,0.0,0.0023287851342941343
100,0,max_steps,1,0,0,-1.499059451876781,2500,,,0.951217530242334,0.1,0.006724040489643812,0.5232252478599548,-0.12280615419149399,47.25333786010742,0.0,3.500940548123216,968,-4.999999999999671,0.0,0.0,0.0,-0.0005996237807507124
110,0,max_steps,1,0,0,7.8879940317897015,2500,,,0.9464721295325524,0.1,0.006759776268154383,0.5232042074203491,-0.12280615419149399,47.25333786010742,0.0,12.88799403178953,1995,-4.999999999999671,0.0,0.0,0.0,0.0031551976127158804
