ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,success,1,2,0,1045.361728200111,783,391.5,391.5,0.9950112350131176,0.1,0.008815632201731205,0.4681815207004547,-0.040246423333883286,58.05482482910156,1000.0,53.171728200110635,763,-7.809999999999878,0.0,0.0,1.3350724498085709,"{2: 46, 3: 32}","{2: 28, 3: 2, 6: 20, 5: 12, 4: 16}",{1: 78},"{1: 27, 0: 11, 2: 40}",{1: 78},{1: 78},0.013764308888240578,0.03462957820508999,0.015879762755406812,0.016746212662631356,0.03530700208785225,0.08630652108043615,0.044781933686091464,0.03912967164665842,0.02202471799307859,0.08159911995330463,0.045002896573777776,0.04543373197725428
20,0,max_steps,1,0,0,12.694767050464389,2500,,,0.9900473578023296,0.1,0.012245742604136467,0.6118215322494507,-0.040246423333883286,68.46949768066406,0.0,37.69476705046451,1641,-25.00000000000111,0.0,0.0,0.005077906820185755,"{5: 190, 4: 60}","{4: 11, 3: 186, 2: 53}",{1: 250},"{1: 235, 2: 15}",{1: 250},{1: 250},0.011669946055314526,0.00877786474206434,0.014902726602046754,0.011961535712568427,0.031295238452214665,0.02059493337330434,0.0338106325339028,0.035672556064718225,,,,
30,0,max_steps,1,1,0,543.4352659712317,2500,1004.0,1004.0,0.98510824420837,0.1,0.01975715532898903,0.8783662915229797,-0.040246423333883286,82.97134399414062,500.0,68.42526597123145,2174,-24.990000000001107,0.0,0.0,0.2173741063884927,"{2: 92, 3: 8, 6: 74, 5: 49, 4: 27}","{2: 76, 3: 174}",{1: 250},"{1: 229, 0: 21}",{1: 250},{1: 250},0.021608589117305184,0.011439134245307993,0.023808824594097666,0.015266150731646647,0.03643717379954217,0.028020531226501093,0.040466111314499224,0.04180670759878481,0.027871506456555836,0.02145162641730907,0.03999913412404187,0.05014987228777159
40,0,max_steps,1,0,0,0.6663166350209067,2500,,,0.9801937706913741,0.1,0.027443699538707733,1.1495643854141235,-0.040246423333883286,101.37738800048828,0.0,25.666316635020788,1667,-25.00000000000111,0.0,0.0,0.00026652665400836266,"{4: 91, 5: 159}","{1: 10, 2: 73, 3: 167}",{1: 250},"{1: 212, 0: 38}",{1: 250},{1: 250},0.009637533071447928,0.008645710630754783,0.01215541328806572,0.015853027999423706,0.022942389923357953,0.0377798501026476,0.03477341157676169,0.041314310888196565,,,,
50,0,success,1,2,0,1061.9137726960687,1144,572.0,572.0,0.9753038143277888,0.1,0.03191700950264931,1.2479884624481201,-0.040246423333883286,104.02754211425781,1000.0,73.33377269606831,1073,-11.419999999999801,0.0,0.0,0.9282463048042559,"{2: 47, 3: 67}","{5: 16, 4: 15, 0: 37, 1: 17, 2: 29}",{1: 114},"{1: 36, 2: 33, 0: 45}",{1: 114},{1: 114},0.01585163588161925,0.04976008240724013,0.020908197317580923,0.023926383522483087,0.040674487978334395,0.06986817322556049,0.047717370968134866,0.040010046189880584,0.045250985742725104,0.08358056258527531,0.051448558974894525,0.04250560151598951
60,0,max_steps,1,1,0,528.3394940104747,2500,2419.0,2419.0,0.9704382528072976,0.1,0.038552701473236084,1.500090479850769,-0.040246423333883286,113.93899536132812,500.0,53.32949401047438,1958,-24.990000000001107,0.0,0.0,0.21133579760418988,"{1: 84, 2: 143, 3: 14, 6: 9}","{4: 5, 3: 172, 2: 73}","{1: 240, 0: 10}","{1: 244, 2: 5, 0: 1}",{1: 250},{1: 250},0.012617688431341735,0.00999235841956322,0.016042749650492683,0.017088792122760012,0.0335651083176402,0.023885164448760963,0.03828896751885075,0.037991308801584044,0.026734726554268333,0.01742395879999507,0.037748829710512896,0.04274814797265349
70,0,max_steps,1,0,0,6.544722633422914,2500,,,0.9655969644297613,0.1,0.047138433903455734,1.8122227191925049,-0.040246423333883286,138.36170959472656,0.0,31.544722633422698,1580,-25.00000000000111,0.0,0.0,0.002617889053369166,"{5: 155, 4: 95}","{4: 20, 3: 164, 2: 66}",{1: 250},"{1: 219, 2: 31}",{1: 250},{1: 250},0.007936256418062903,0.010816051426908698,0.011351446917362774,0.015627633170742894,0.024328551550190765,0.03396692255654105,0.029401743336504395,0.034102529278745956,,,,
80,0,max_steps,1,1,0,522.3527029366331,2500,1974.0,1974.0,0.9607798281021742,0.1,0.05146024748682976,1.9897726774215698,-0.040246423333883286,148.0779571533203,500.0,47.342702936634225,1834,-24.990000000001107,0.0,0.0,0.20894108117465326,"{4: 192, 3: 5, 0: 53}","{2: 58, 3: 162, 5: 10, 4: 20}",{1: 250},"{1: 214, 0: 1, 2: 35}",{1: 250},{1: 250},0.008012647104823186,0.012040159771965665,0.011831491736057263,0.016256556825555754,0.027594818118365266,0.057116693345344055,0.03395015474366637,0.039862833015172155,0.02753096887992557,0.0265888398308524,0.041490514999001166,0.03980558525320679
90,0,max_steps,1,1,0,558.1449360714166,2500,336.0,336.0,0.9559867233356352,0.1,0.057715579867362976,2.1946091651916504,-0.040246423333883286,168.27987670898438,500.0,83.13493607141476,2325,-24.990000000001107,0.0,0.0,0.22325797442856665,"{4: 27, 3: 6, 1: 144, 0: 32, 2: 41}","{5: 12, 4: 19, 3: 112, 0: 33, 1: 21, 2: 53}",{1: 250},"{1: 147, 2: 38, 0: 65}",{1: 250},{1: 250},0.014802957612242554,0.021469937059597086,0.016646835637344454,0.016926762658523768,0.0284772616924155,0.06760152824052362,0.03567055898303823,0.03757941342260696,0.02089822634670195,0.08517374729272871,0.02504734546207409,0.03895205089880617
100,0,max_steps,1,1,0,537.2929537635035,2500,1974.0,1974.0,0.951217530242334,0.1,0.06515217572450638,2.4020047187805176,-0.040246423333883286,154.46441650390625,500.0,62.28295376350019,1814,-24.990000000001107,0.0,0.0,0.2149171815054014,"{1: 69, 2: 99, 3: 29, 6: 53}","{5: 18, 4: 19, 3: 119, 2: 83, 1: 11}","{1: 241, 0: 9}","{1: 162, 2: 46, 0: 42}",{1: 250},{1: 250},0.01664574207151396,0.014253754457925306,0.02156965602337768,0.024477606005037726,0.039591399528569486,0.06778069943213902,0.04720958924370269,0.055533588791640595,0.034748260973849185,0.010908536263154833,0.04235809502313596,0.05007828012171957
