ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10,0,max_steps,1,0,0,4.286850194681681,2500,,,0.9950112350131176,0.1,0.0012117328587919474,0.22941480576992035,-0.17088234424591064,49.9915771484375,0.0,29.286850194681602,1512,-25.00000000000111,0.0,0.0,0.0017147400778726723,{2: 250},"{3: 175, 2: 75}",{1: 250},"{1: 244, 2: 6}",{1: 250},{1: 250},0.010833569695951997,0.006295480980363534,0.01558196720856199,0.021721841091400525,0.02370938931810234,0.016467280869869233,0.0364928128845885,0.044367375325678235,,,,
20,0,max_steps,1,0,0,-15.92834180975217,2500,,,0.9900473578023296,0.1,0.0034649360459297895,0.4932574927806854,-0.4839366376399994,94.99281311035156,0.0,9.07165819024751,908,-25.00000000000111,0.0,0.0,-0.006371336723900868,"{4: 207, 5: 43}","{2: 75, 3: 175}",{1: 250},"{1: 235, 0: 15}",{1: 250},{1: 250},0.009002101874733638,0.008631010622356963,0.0104429426178804,0.012669996283952108,0.024162706076370423,0.0227588803358987,0.030361999119289964,0.02800843852798528,,,,
30,0,max_steps,1,0,0,5.0919557352891855,2500,,,0.98510824420837,0.1,0.004658446181565523,0.5020911693572998,-0.5473605394363403,94.99281311035156,0.0,30.091955735289073,1352,-25.00000000000111,0.0,0.0,0.002036782294115674,{2: 250},"{4: 13, 3: 179, 2: 58}",{1: 250},"{1: 226, 2: 24}",{1: 250},{1: 250},0.011679188853411855,0.010010724928929389,0.020516409238613545,0.026276745508788005,0.028820037888907662,0.028835204527420336,0.04432462837323794,0.0564074455310926,,,,
40,0,max_steps,1,0,0,-3.1714987734193953,2500,,,0.9801937706913741,0.1,0.005802918691188097,0.5516433119773865,-0.48469269275665283,94.99281311035156,0.0,21.82850122658051,1340,-25.00000000000111,0.0,0.0,-0.001268599509367758,"{5: 35, 4: 215}","{3: 192, 2: 58}",{1: 250},{1: 250},{1: 250},{1: 250},0.008813522453880323,0.008359057515064272,0.012761640181265903,0.0140051259985785,0.018844022912739913,0.017246674501539588,0.026423220180980974,0.03558457894550483,,,,
50,0,max_steps,1,1,0,515.6399096906778,2500,2165.0,2165.0,0.9753038143277888,0.1,0.011080054566264153,0.65574049949646,-0.5332236886024475,94.99281311035156,500.0,40.62990969067748,1863,-24.990000000001107,0.0,0.0,0.2062559638762711,"{2: 244, 3: 6}","{3: 159, 2: 63, 1: 28}",{1: 250},"{1: 216, 2: 14, 0: 20}",{1: 250},{1: 250},0.010841670777362216,0.009881536192673308,0.015031767236807542,0.013674645421703123,0.02376584887026969,0.032827062622646556,0.02871504179728865,0.031910676344322444,0.022923466883295083,0.026181557100599884,0.027741240756446732,0.0302391856384462
60,0,max_steps,1,1,0,519.5806839453201,2500,645.0,645.0,0.9704382528072976,0.1,0.015386456623673439,0.8083047270774841,-0.6177252531051636,94.99281311035156,500.0,44.57068394531555,1767,-24.990000000001107,0.0,0.0,0.20783227357812803,"{3: 33, 2: 217}","{1: 12, 2: 91, 3: 126, 4: 21}",{1: 250},"{1: 170, 0: 44, 2: 36}",{1: 250},{1: 250},0.0074411212596839,0.017542782735645503,0.00833088519179746,0.01308285134963081,0.01744170466796876,0.0458260363947899,0.026679740756552075,0.029805546174937733,0.015992927089841995,0.046696343024827044,0.028329316051327224,0.03546753137908124
70,0,max_steps,1,0,0,-13.182159053659909,2500,,,0.9655969644297613,0.1,0.0206817127764225,0.967823326587677,-0.5544390678405762,94.99281311035156,0.0,11.817840946339789,1144,-25.00000000000111,0.0,0.0,-0.005272863621463964,"{5: 242, 6: 8}","{2: 58, 3: 192}","{1: 247, 0: 3}","{1: 231, 0: 18, 2: 1}",{1: 250},{1: 250},0.008923139260628148,0.00695779815903118,0.013632028161158594,0.02084876049372531,0.030300019099529424,0.026490176463546622,0.0406849890371621,0.04831322706428292,,,,
80,0,max_steps,1,0,0,17.490676313059378,2500,,,0.9607798281021742,0.1,0.02291971445083618,1.003803014755249,-0.5783710479736328,94.99281311035156,0.0,42.49067631305941,1779,-25.00000000000111,0.0,0.0,0.006996270525223751,{2: 250},"{5: 14, 4: 16, 3: 150, 2: 70}",{1: 250},"{1: 211, 2: 39}",{1: 250},{1: 250},0.010310175916018783,0.007306219657127681,0.01315388129165286,0.013564391566787222,0.01713595965367027,0.05712393463662033,0.022887725075390688,0.030613906444275998,,,,
90,0,max_steps,1,0,0,-16.958192155647545,2500,,,0.9559867233356352,0.1,0.02611668035387993,1.1064718961715698,-0.711925745010376,94.99281311035156,0.0,8.041807844352462,805,-25.00000000000111,0.0,0.0,-0.006783276862259018,"{4: 60, 5: 136, 6: 54}","{2: 64, 3: 186}","{1: 232, 0: 18}","{1: 246, 0: 4}",{1: 250},"{1: 245, 0: 5}",0.012130792420149358,0.005552519131775837,0.015636983124645135,0.020686380006042455,0.038731129479680104,0.01713943785720755,0.06314996321980632,0.06807507671489231,,,,
100,0,max_steps,1,0,0,1.7274355659417253,2500,,,0.951217530242334,0.1,0.02820744924247265,1.1760919094085693,-0.7845774292945862,94.99281311035156,0.0,26.72743556594148,1261,-25.00000000000111,0.0,0.0,0.0006909742263766901,{5: 250},"{1: 18, 2: 73, 3: 159}",{1: 250},"{1: 196, 0: 50, 2: 4}",{1: 250},{1: 250},0.008882155427969388,0.009056818108270732,0.013861497071684527,0.017389772094916538,0.020286165654244372,0.04264881984769685,0.030154568517837144,0.03907585743437962,,,,
